,UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
0,142615643,57890,2022-05-03 23:19:24,2022-05-04 00:00:36,Wróblewskiego (ZOO),Powstańcow Śląskich / Aleja Hallera,42
1,142615447,650832,2022-05-03 23:15:12,2022-05-04 00:00:57,Wróblewskiego (ZOO),Powstańcow Śląskich / Aleja Hallera,46
2,142616826,651341,2022-05-03 23:53:50,2022-05-04 00:01:21,Kościuszki / Pułaskiego,Hubska / Prudnicka,8
3,142615597,650056,2022-05-03 23:18:20,2022-05-04 00:01:23,Plac Grunwaldzki (DS Ołówek),al. Kochanowskiego / Śniadeckich ,44
4,142616790,650398,2022-05-03 23:52:19,2022-05-04 00:02:19,Plac Powstańców Warszawy (Muzeum Narodowe),Nowowiejska / Górnickiego,10
5,142616850,650837,2022-05-03 23:54:37,2022-05-04 00:02:35,Rondo Reagana,Nowowiejska / Jedności Narodowej,8
6,142616611,650476,2022-05-03 23:46:33,2022-05-04 00:02:45,Plac Grunwaldzki (DS Ołówek),Hubska / Prudnicka,17
7,142616839,650409,2022-05-03 23:54:08,2022-05-04 00:02:50,Olszewskiego / Spółdzielcza,Stadion Olimpijski,9
8,142616542,57072,2022-05-03 23:44:18,2022-05-04 00:02:51,Wyszyńskiego / Szczytnicka,Olszewskiego / Spółdzielcza,19
9,142616708,651300,2022-05-03 23:49:54,2022-05-04 00:03:06,Lotnicza / Bajana,Hermanowska / Kołobrzeska,14
10,142616637,650850,2022-05-03 23:47:27,2022-05-04 00:03:25,Lotnicza / Bajana,Hermanowska / Kołobrzeska,16
11,142616955,57722,2022-05-03 23:58:23,2022-05-04 00:04:01,Plac Legionów,Rynek,6
12,142616494,651138,2022-05-03 23:43:19,2022-05-04 00:04:08,Jedności Narodowej / Wyszyńskiego,Poza stacją,21
13,142616442,650139,2022-05-03 23:41:57,2022-05-04 00:04:26,Jedności Narodowej / Wyszyńskiego,Poza stacją,23
14,142615381,57384,2022-05-03 23:13:54,2022-05-04 00:04:55,Krzycka / Aleja Karkonoska (Park Południowy),Plac Grunwaldzki (DS Ołówek),52
