,UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
0,143388517,57012,2022-05-09 23:52:10,2022-05-10 00:00:23,Powstańcow Śląskich / Aleja Hallera,Krucza / Mielecka / Stalowa,9
1,143388442,650042,2022-05-09 23:49:47,2022-05-10 00:00:47,Drobnera / Dubois,Żmigrodzka / Broniewskiego,11
2,143388718,651044,2022-05-09 23:59:19,2022-05-10 00:01:04,Zaporoska / Grabiszyńska,Zaporoska / Grabiszyńska,2
3,143388535,57271,2022-05-09 23:52:32,2022-05-10 00:02:18,Nowowiejska / Jedności Narodowej,Sienkiewicza / Piastowska,10
4,143388593,57595,2022-05-09 23:54:07,2022-05-10 00:03:23,Fosa Miejska ,Zaporoska / Wielka / Krucza,10
5,143388577,651386,2022-05-09 23:53:35,2022-05-10 00:03:33,Nowowiejska / Jedności Narodowej,Rondo Reagana,10
6,143388736,57815,2022-05-10 00:00:07,2022-05-10 00:03:45,Grabiszyńska / Stalowa,Krucza / Mielecka / Stalowa,4
7,143388640,650894,2022-05-09 23:55:52,2022-05-10 00:04:43,Wyszyńskiego / Szczytnicka,Żeromskiego / Daszyńskiego,9
8,143388025,57125,2022-05-09 23:36:06,2022-05-10 00:05:35,Plac Grunwaldzki / Polaka,Plac Grunwaldzki / Polaka,30
9,143388842,651137,2022-05-10 00:05:17,2022-05-10 00:05:55,Ślężna / Kamienna (Uniw. Ekonomiczny),Ślężna / Kamienna (Uniw. Ekonomiczny),1
10,143388636,57962,2022-05-09 23:55:43,2022-05-10 00:07:19,Grabiszyńska / Stalowa,Poza stacją,12
11,143388898,651328,2022-05-10 00:08:02,2022-05-10 00:08:42,Piaskowa / św. Ducha,Piaskowa / św. Ducha,1
12,143388790,57921,2022-05-10 00:02:12,2022-05-10 00:08:47,Dyrekcyjna / Borowska (Wroclavia),Komandorska / Kamienna,7
13,143388731,651212,2022-05-09 23:59:56,2022-05-10 00:08:49,Plac Legionów,Gliniana / Gajowa,9
14,143388530,650276,2022-05-09 23:52:31,2022-05-10 00:08:58,Partyzantów / Okrzei,Strachocińska / Wieśniacza,17
15,143388780,57455,2022-05-10 00:01:38,2022-05-10 00:11:15,Komandorska / Sanocka,Krucza / Mielecka / Stalowa,10
16,143388684,57026,2022-05-09 23:57:54,2022-05-10 00:11:19,Świeradowska / Krynicka,Mościckiego / Chińska ,14
17,143388800,651340,2022-05-10 00:02:45,2022-05-10 00:12:10,al. Armii Krajowej / Bardzka,Dyrekcyjna / Borowska (Wroclavia),10
18,143388818,650672,2022-05-10 00:03:43,2022-05-10 00:12:43,Powstańców Śląskich (Arkady Wrocławskie),Zaporoska / Grabiszyńska,9
19,143388849,650610,2022-05-10 00:05:35,2022-05-10 00:13:14,Skarbowców / Wietrzna,Ślężna / Skierniewicka,8
20,143388892,57052,2022-05-10 00:07:45,2022-05-10 00:13:27,Wita Stwosza / Szewska,Plac Uniwersytecki (UWr),6
21,143388887,57819,2022-05-10 00:07:33,2022-05-10 00:13:59,Świeradowska (Ferio Gaj ),al. Armii Krajowej / Borowska,7
22,143388969,651336,2022-05-10 00:11:08,2022-05-10 00:15:04,Żeromskiego / Daszyńskiego,Nowowiejska / Jedności Narodowej,4
23,143388783,651480,2022-05-10 00:01:48,2022-05-10 00:15:20,Nowowiejska / Wyszyńskiego,Nowowiejska / Górnickiego,14
24,143388777,650316,2022-05-10 00:01:36,2022-05-10 00:15:28,Nowowiejska / Wyszyńskiego,Nowowiejska / Górnickiego,14
25,143388769,650432,2022-05-10 00:01:19,2022-05-10 00:16:00,Zaporoska / Grabiszyńska,Powstańców Śląskich/Orla,15
26,143388735,650436,2022-05-10 00:00:06,2022-05-10 00:16:01,Zaporoska / Grabiszyńska,Powstańców Śląskich/Orla,16
27,143389023,57676,2022-05-10 00:13:54,2022-05-10 00:16:32,Traugutta / Pułaskiego,Kościuszki / Pułaskiego,3
28,143388925,57125,2022-05-10 00:09:20,2022-05-10 00:16:57,Plac Grunwaldzki / Polaka,Walońska (Angel Poland Group),8
29,143388587,650274,2022-05-09 23:53:55,2022-05-10 00:17:04,Wita Stwosza / Szewska,Poza stacją,24
30,143388911,651242,2022-05-10 00:08:46,2022-05-10 00:17:19,Plac Grunwaldzki / Polaka,Walońska (Angel Poland Group),9
31,143388806,57795,2022-05-10 00:03:04,2022-05-10 00:18:26,al. Kochanowskiego / Śniadeckich ,Kościuszki / Pułaskiego,16
32,143388857,57129,2022-05-10 00:06:07,2022-05-10 00:19:17,Ślężna / Kamienna (Uniw. Ekonomiczny),Rondo Reagana,14
33,143388893,650243,2022-05-10 00:07:46,2022-05-10 00:19:25,Piaskowa / św. Ducha,Rondo Reagana,12
34,143388924,651514,2022-05-10 00:09:15,2022-05-10 00:19:29,Piaskowa / św. Ducha,Rondo Reagana,11
35,143388756,651312,2022-05-10 00:00:34,2022-05-10 00:20:02,Racławicka / Rymarska,"Grochowa / Jemiołowa,",20
36,143388992,650069,2022-05-10 00:12:08,2022-05-10 00:20:30,Poza stacją,Hubska / Prudnicka,9
37,143388803,650981,2022-05-10 00:02:54,2022-05-10 00:21:42,Pilczycka / Kozanowska,Plac Jana Pawła II (Akademia Muzyczna),19
38,143389030,650729,2022-05-10 00:14:12,2022-05-10 00:22:35,al. Armii Krajowej / Borowska,Komandorska / Sanocka,9
39,143389080,57399,2022-05-10 00:16:34,2022-05-10 00:22:44,Zaporoska / Grabiszyńska,Grabiszyńska / Stalowa,7
40,143388888,57643,2022-05-10 00:07:35,2022-05-10 00:23:11,Drobnera / Dubois,Wróblewskiego (Teki),16
41,143389147,651273,2022-05-10 00:19:23,2022-05-10 00:23:56,Poza stacją,Zaporoska / Grabiszyńska,5
42,143389179,650094,2022-05-10 00:20:25,2022-05-10 00:23:56,Grabiszyńska / Stalowa,Grabiszyńska / Magazynierska (Corte Verona),4
43,143389108,651340,2022-05-10 00:17:52,2022-05-10 00:24:09,Dyrekcyjna / Borowska (Wroclavia),Hubska / Prudnicka,7
44,143386423,57718,2022-05-09 22:57:20,2022-05-10 00:25:11,Drobnera / Dubois,Bezpieczna/Jugosławiańska,88
