,UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
0,136932905,650037,2022-02-10 23:51:04,2022-02-11 00:01:19,Sienkiewicza / Wyszyńskiego,Aleja Kromera,11
1,136932860,651463,2022-02-10 23:48:10,2022-02-11 00:02:24,Kościuszki / Komuny Paryskiej / Zgodna,Grabiszyńska / Stalowa,15
2,136930820,57742,2022-02-10 22:06:06,2022-02-11 00:04:07,Solskiego / al. Piastów,Solskiego / al. Piastów,119
3,136933093,651235,2022-02-11 00:06:29,2022-02-11 00:07:40,Kozanowska / Pilczycka,Kozanowska / Pilczycka,2
4,136932970,57878,2022-02-10 23:55:33,2022-02-11 00:10:08,Dyrekcyjna / Borowska (Wroclavia),Tarnogajska / Klimasa,15
5,136932994,650811,2022-02-10 23:57:44,2022-02-11 00:10:24,Dyrekcyjna / Borowska (Wroclavia),al. Armii Krajowej / Borowska,13
6,136933052,651290,2022-02-11 00:02:05,2022-02-11 00:12:11,Plac Strzegomski / Poznańska,Legnicka / Wejherowska,11
7,136932979,650193,2022-02-10 23:56:03,2022-02-11 00:12:48,Otyńska,Powstańców Śląskich (Arkady Wrocławskie),17
8,136933129,57320,2022-02-11 00:09:12,2022-02-11 00:13:24,"Dworzec Główny, południe",Gliniana / Gajowa,5
9,136933117,651338,2022-02-11 00:08:11,2022-02-11 00:17:21,Kozanowska / Pilczycka,Legnicka / Zachodnia ,10
10,136933156,57148,2022-02-11 00:11:41,2022-02-11 00:18:12,Na Ostatnim Groszu,Legnicka / Wejherowska,7
11,136933061,651463,2022-02-11 00:03:09,2022-02-11 00:19:25,Grabiszyńska / Stalowa,Solskiego / al. Piastów,17
12,136933040,651530,2022-02-11 00:01:15,2022-02-11 00:21:11,Racławicka / Rymarska,"Grochowa / Jemiołowa,",20
13,136933149,650087,2022-02-11 00:11:10,2022-02-11 00:21:49,Świeradowska / Krynicka,Buforowa - Vivaldiego,11
14,136933240,57163,2022-02-11 00:18:55,2022-02-11 00:21:55,Karwińska / Opolska,Opolska / pętla tramwajowa,3
15,136933279,650087,2022-02-11 00:22:23,2022-02-11 00:23:01,Buforowa - Vivaldiego,Buforowa - Vivaldiego,1
16,136932802,651253,2022-02-10 23:44:29,2022-02-11 00:23:56,Plac Uniwersytecki (UWr),Marca Polo (Olimpia Port),40
17,136933158,57340,2022-02-11 00:11:53,2022-02-11 00:26:07,Borowska (Uniw. Szpital Kliniczny),Komandorska / Kamienna,15
18,136933250,650290,2022-02-11 00:19:37,2022-02-11 00:27:45,Powstańcow Śląskich / Aleja Hallera,Grabiszyńska / Stalowa,9
