,UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
0,138838779,57684,2022-03-18 23:55:50,2022-03-19 00:00:16,"Dworzec Główny, południe",Gliniana / Gajowa,5
1,138838799,650499,2022-03-18 23:56:48,2022-03-19 00:00:20,Nowowiejska / Jedności Narodowej,Nowowiejska / Górnickiego,4
2,138838570,650625,2022-03-18 23:48:38,2022-03-19 00:00:37,Poniatowskiego / Oleśnicka,Plac Legionów,12
3,138838952,57909,2022-03-19 00:02:06,2022-03-19 00:02:39,Szczęśliwa (Sky Tower),Szczęśliwa (Sky Tower),1
4,138838636,57322,2022-03-18 23:50:48,2022-03-19 00:02:44,"Dworzec Główny, południe",Plac Grunwaldzki / Polaka,12
5,138838805,57417,2022-03-18 23:57:03,2022-03-19 00:03:07,Plac Kościuszki (Renoma),Plac Uniwersytecki (UWr),7
6,138838641,651329,2022-03-18 23:51:01,2022-03-19 00:04:42,Czekoladowa / Wałbrzyska,Racławicka / Rymarska,14
7,138838592,651269,2022-03-18 23:49:35,2022-03-19 00:05:18,Poza stacją,Kazimierza Wielkiego (Helios),16
8,138838786,650136,2022-03-18 23:56:06,2022-03-19 00:05:29,Kraszewskiego / Trzebnicka,Kamieńskiego / Jutrosińska,10
9,138838728,651193,2022-03-18 23:53:51,2022-03-19 00:06:05,Traugutta / Pułaskiego,Plac Legionów,13
10,138838774,650112,2022-03-18 23:55:37,2022-03-19 00:06:12,Wróblewskiego (Teki),Łukasiewicza / Smoluchowskiego (PWr),11
11,138838597,650796,2022-03-18 23:49:40,2022-03-19 00:06:36,Świdnicka / Piłsudskiego (Hotel Scandic),Szewska / Kazimierza Wielkiego ,17
12,138838593,650781,2022-03-18 23:49:36,2022-03-19 00:06:41,Nyska / Jesionowa,Kazimierza Wielkiego (Helios),18
13,138839028,650759,2022-03-19 00:04:49,2022-03-19 00:06:41,Żeromskiego / Kluczborska,Poniatowskiego / Oleśnicka,2
14,138838969,650231,2022-03-19 00:02:33,2022-03-19 00:07:38,Powstańców Śląskich/Orla,Racławicka / Rymarska,6
15,138838875,57783,2022-03-18 23:59:28,2022-03-19 00:07:47,Kamienna / Borowska (Aquapark),al. Armii Krajowej / Bardzka,9
16,138839047,650794,2022-03-19 00:05:22,2022-03-19 00:08:16,.RELOKACYJNA,Legnicka / Zachodnia ,3
17,138839119,650083,2022-03-19 00:07:38,2022-03-19 00:08:21,Tarnogajska / Klimasa,Tarnogajska / Klimasa,1
18,138838744,651262,2022-03-18 23:54:32,2022-03-19 00:09:00,Legnicka (Park Magnolia),Poza stacją,15
19,138838724,650467,2022-03-18 23:53:41,2022-03-19 00:09:10,Traugutta / Pułaskiego,al. Kochanowskiego / Kopernika,16
20,138838738,650400,2022-03-18 23:54:19,2022-03-19 00:09:17,Dyrekcyjna / Borowska (Wroclavia),al. Armii Krajowej / Tarnogajska,15
21,138838729,651344,2022-03-18 23:53:53,2022-03-19 00:09:30,Traugutta / Pułaskiego,al. Kochanowskiego / Kopernika,16
22,138838908,651160,2022-03-19 00:00:52,2022-03-19 00:09:37,Plac Legionów,Grabiszyńska / Stalowa,9
23,138839036,651144,2022-03-19 00:04:59,2022-03-19 00:10:11,Rynek,Plac Jana Pawła II (Akademia Muzyczna),6
24,138839121,57991,2022-03-19 00:07:40,2022-03-19 00:11:02,Kozanowska / Pilczycka,Kozanowska/Pałucka,4
25,138838859,650649,2022-03-18 23:58:58,2022-03-19 00:11:20,Drzewieckiego / Dedala,Strzegomska / Estońska,13
26,138839016,650175,2022-03-19 00:04:26,2022-03-19 00:12:25,Plac Dominikański (Galeria Dominikańska),Kościuszki / Komuny Paryskiej / Zgodna,8
27,138838811,650552,2022-03-18 23:57:26,2022-03-19 00:12:52,Traugutta / Pułaskiego,Promenady Wrocławskie,16
28,138838460,650298,2022-03-18 23:45:10,2022-03-19 00:13:43,Solskiego / al. Piastów,"Grochowa / Jemiołowa,",29
29,138838995,57998,2022-03-19 00:03:36,2022-03-19 00:13:56,Obornicka / Bałtycka,Kamieńskiego,11
30,138839151,650546,2022-03-19 00:08:39,2022-03-19 00:14:15,Tarnogajska / Klimasa,al. Armii Krajowej / Bardzka,6
31,138838523,650019,2022-03-18 23:46:53,2022-03-19 00:14:26,Graniczna / Strzegomska,Rogowska / Zemska,28
32,138838938,57466,2022-03-19 00:01:34,2022-03-19 00:15:02,Gazowa / Międzyleska,Jagodzińska / Buforowa,14
33,138839213,57673,2022-03-19 00:10:32,2022-03-19 00:15:05,al. Poprzeczna / stacja kolejowa,Sołtysowicka / Redycka,5
34,138838169,650458,2022-03-18 23:35:46,2022-03-19 00:16:10,Legnicka / Młodych Techników,Poza stacją,41
35,138839050,651134,2022-03-19 00:05:26,2022-03-19 00:16:30,"Dworzec Główny, południe",al. Armii Krajowej / Bardzka,12
36,138839202,650732,2022-03-19 00:10:11,2022-03-19 00:17:58,Szewska / Kazimierza Wielkiego ,Dworzec Główny ,8
37,138838931,57104,2022-03-19 00:01:19,2022-03-19 00:18:17,al. Armii Krajowej / Borowska,Piaskowa / św. Ducha,17
38,138839399,57061,2022-03-19 00:16:26,2022-03-19 00:18:47,Poza stacją,Zaporoska / Grabiszyńska,3
39,138838850,650145,2022-03-18 23:58:41,2022-03-19 00:19:07,al. Kochanowskiego / Śniadeckich ,Dworzec Główny ,21
40,138839476,651512,2022-03-19 00:19:04,2022-03-19 00:19:25,Zaporoska / Grabiszyńska,Zaporoska / Grabiszyńska,1
41,138839431,650197,2022-03-19 00:17:42,2022-03-19 00:19:31,Plac Powstańców Śląskich,Szczęśliwa (Sky Tower),2
42,138839307,57841,2022-03-19 00:13:11,2022-03-19 00:22:17,Kamienna / Borowska (Aquapark),Poza stacją,10
43,138838944,57190,2022-03-19 00:01:52,2022-03-19 00:22:20,Plac Strzegomski / Poznańska,Strzegomska / Estońska,21
44,138838940,57985,2022-03-19 00:01:38,2022-03-19 00:22:31,Plac Strzegomski / Poznańska,Strzegomska / Estońska,21
45,138839226,57929,2022-03-19 00:10:55,2022-03-19 00:22:36,Dworzec Główny ,pl. Orląt Lwowskich,12
46,138839249,57670,2022-03-19 00:11:23,2022-03-19 00:22:42,Dworzec Główny ,pl. Orląt Lwowskich,12
47,138839362,651547,2022-03-19 00:15:18,2022-03-19 00:22:53,Plac Legionów,Poza stacją,8
48,138839038,650265,2022-03-19 00:05:07,2022-03-19 00:23:00,Racławicka / Rymarska,Piławska,18
49,138839246,651344,2022-03-19 00:11:21,2022-03-19 00:24:33,al. Kochanowskiego / Kopernika,Bacciarellego,14
50,138839282,650545,2022-03-19 00:12:30,2022-03-19 00:24:45,Szewska / Kazimierza Wielkiego ,Hubska / Prudnicka,13
51,138838939,650971,2022-03-19 00:01:35,2022-03-19 00:25:28,Grota-Roweckiego/Iwaszkiewicza,Piaskowa / św. Ducha,24
52,138839253,650796,2022-03-19 00:11:32,2022-03-19 00:27:01,Szewska / Kazimierza Wielkiego ,Kościuszki / Pułaskiego,16
53,138839494,651270,2022-03-19 00:19:41,2022-03-19 00:27:14,Krakowska / Leroy Merlin,Tarnogajska / Klimasa,8
54,138839507,650227,2022-03-19 00:19:54,2022-03-19 00:27:17,Krakowska / Leroy Merlin,Tarnogajska / Klimasa,8
55,138839360,57284,2022-03-19 00:15:12,2022-03-19 00:27:40,al. Armii Krajowej / Borowska,Powstańców Śląskich/Orla,13
56,138839551,650288,2022-03-19 00:21:38,2022-03-19 00:28:00,"Dworzec Główny, południe",Hubska / Prudnicka,7
57,138839033,650991,2022-03-19 00:04:53,2022-03-19 00:28:29,Rynek,Piławska,24
58,138839711,651487,2022-03-19 00:27:51,2022-03-19 00:28:36,Gajowicka,Gajowicka,1
59,138839596,57683,2022-03-19 00:23:27,2022-03-19 00:29:19,Piłsudskiego 13 od Jump Hall,Pereca / Grabiszyńska,6
60,138839682,650776,2022-03-19 00:26:52,2022-03-19 00:29:44,Drobnera / Dubois,Drobnera / Plac Bema,3
61,138839553,650458,2022-03-19 00:21:44,2022-03-19 00:30:00,Poza stacją,Drobnera / Plac Bema,9
62,138838200,57271,2022-03-18 23:36:39,2022-03-19 00:30:38,Legnicka / Młodych Techników,Drobnera / Plac Bema,54
63,138838183,57326,2022-03-18 23:36:03,2022-03-19 00:30:50,Legnicka / Młodych Techników,Drobnera / Plac Bema,55
64,138839644,57147,2022-03-19 00:25:17,2022-03-19 00:31:28,Plac Dominikański (Galeria Dominikańska),Plac Grunwaldzki / Polaka,7
65,138839598,57517,2022-03-19 00:23:31,2022-03-19 00:32:24,Kurkowa / Dubois,Wyszyńskiego / Szczytnicka,9
66,138839512,650129,2022-03-19 00:20:11,2022-03-19 00:33:04,Powstańców Śląskich/Orla,Czekoladowa / Wałbrzyska,13
67,138839495,57381,2022-03-19 00:19:41,2022-03-19 00:33:32,Kościuszki / Pułaskiego,Nowowiejska / Wyszyńskiego,14
68,138839576,57090,2022-03-19 00:22:31,2022-03-19 00:35:27,Aleja Kromera,Żeromskiego / Daszyńskiego,13
69,138839699,651531,2022-03-19 00:27:25,2022-03-19 00:35:27,Kościuszki / Pułaskiego,Świdnicka / Piłsudskiego (Hotel Scandic),9
70,138839702,57960,2022-03-19 00:27:36,2022-03-19 00:35:30,Piłsudskiego 13 od Jump Hall,Pereca / Grabiszyńska,8
71,138828176,57911,2022-03-18 20:00:12,2022-03-19 00:35:57,Grabiszyńska / Stalowa,Pereca / Grabiszyńska,276
72,138839449,57806,2022-03-19 00:18:13,2022-03-19 00:36:36,Plac Dominikański (Galeria Dominikańska),al. Armii Krajowej / Borowska,19
73,138839424,57251,2022-03-19 00:17:30,2022-03-19 00:36:41,Plac Dominikański (Galeria Dominikańska),al. Armii Krajowej / Borowska,20
74,138839445,651461,2022-03-19 00:18:05,2022-03-19 00:36:46,Plac Dominikański (Galeria Dominikańska),al. Armii Krajowej / Borowska,19
75,138839423,650352,2022-03-19 00:17:23,2022-03-19 00:36:47,Plac Dominikański (Galeria Dominikańska),al. Armii Krajowej / Borowska,20
76,138839912,57155,2022-03-19 00:35:27,2022-03-19 00:37:29,Poza stacją,Strzegomska / Estońska,3
77,138839638,651472,2022-03-19 00:25:11,2022-03-19 00:37:47,Szewska / Kazimierza Wielkiego ,Plac Grunwaldzki / Polaka,13
78,138839826,650170,2022-03-19 00:31:56,2022-03-19 00:39:41,Świdnicka / Piłsudskiego (Hotel Scandic),Plac Powstańców Śląskich,8
79,138839871,57856,2022-03-19 00:33:33,2022-03-19 00:40:27,Wita Stwosza / Szewska,Poniatowskiego / Oleśnicka,7
