,UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
0,136409559,650864,2022-01-28 23:57:20,2022-01-29 00:03:32,Gliniana / Gajowa,al. Armii Krajowej / Bardzka,7
1,136409465,650271,2022-01-28 23:52:55,2022-01-29 00:03:44,Bezpieczna / Obornicka,Berenta / Kasprowicza,11
2,136409517,57903,2022-01-28 23:55:28,2022-01-29 00:06:02,Zwycięska / Agrestowa,Krzycka / Aleja Karkonoska (Park Południowy),11
3,136409515,651150,2022-01-28 23:55:24,2022-01-29 00:06:26,Zwycięska / Agrestowa,Krzycka / Aleja Karkonoska (Park Południowy),12
4,136409499,651464,2022-01-28 23:54:37,2022-01-29 00:08:26,Plac Powstańców Śląskich,Plac Dominikański (Galeria Dominikańska),14
5,136409441,57738,2022-01-28 23:51:18,2022-01-29 00:09:58,Plac Powstańców Śląskich,Poza stacją,19
6,136409528,650504,2022-01-28 23:56:03,2022-01-29 00:10:05,Plac Grunwaldzki (DS Ołówek),Kościuszki / Komuny Paryskiej / Zgodna,15
7,136409685,650186,2022-01-29 00:03:31,2022-01-29 00:13:59,Rynek,Poza stacją,11
8,136409857,650428,2022-01-29 00:13:54,2022-01-29 00:14:31,"Dworzec Główny, południe",Poza stacją,1
9,136409654,650501,2022-01-29 00:01:33,2022-01-29 00:14:47,al. Armii Krajowej / Borowska,Grota-Roweckiego/Iwaszkiewicza,14
10,136409785,57226,2022-01-29 00:09:18,2022-01-29 00:15:22,Klecińska / Duńska,Strzegomska / Rogowska ,7
11,136409634,57960,2022-01-29 00:00:44,2022-01-29 00:16:26,Rynek,Grabiszyńska / Magazynierska (Corte Verona),16
12,136409754,651150,2022-01-29 00:07:17,2022-01-29 00:21:44,Krzycka / Aleja Karkonoska (Park Południowy),Komandorska / Kamienna,15
13,136409888,650046,2022-01-29 00:15:32,2022-01-29 00:23:12,Powstańców Śląskich (Arkady Wrocławskie),Komandorska / Kamienna,8
14,136410071,650472,2022-01-29 00:24:00,2022-01-29 00:24:35,Zachodnia / Poznańska,Zachodnia / Poznańska,1
15,136409980,57127,2022-01-29 00:19:42,2022-01-29 00:25:21,Aleja Hallera / Mielecka,Pereca / Grabiszyńska,6
16,136410103,650472,2022-01-29 00:25:25,2022-01-29 00:28:03,Zachodnia / Poznańska,Legnicka / Zachodnia ,3
17,136284152,57190,2022-01-26 08:13:26,2022-01-29 00:28:11,Popowice,Popowice,3855
18,136216006,57673,2022-01-24 15:40:49,2022-01-29 00:28:50,Żeromskiego / Kluczborska,Żeromskiego / Kluczborska,6289
19,136409878,650428,2022-01-29 00:15:03,2022-01-29 00:29:43,Poza stacją,Szewska / Kazimierza Wielkiego ,15
20,136409743,57903,2022-01-29 00:06:47,2022-01-29 00:30:44,Krzycka / Aleja Karkonoska (Park Południowy),Plac Dominikański (Galeria Dominikańska),24
21,136410056,57738,2022-01-29 00:23:12,2022-01-29 00:31:33,Poza stacją,Kościuszki / Pułaskiego,9
22,136410099,57077,2022-01-29 00:25:22,2022-01-29 00:32:31,Plac Świętego Macieja / Trzebnicka,Plac Świętego Macieja / Trzebnicka,8
23,136410127,650350,2022-01-29 00:26:21,2022-01-29 00:34:40,Plac Świętego Macieja / Trzebnicka,Żmigrodzka / Broniewskiego,9
24,136410163,651464,2022-01-29 00:28:34,2022-01-29 00:34:57,Plac Dominikański (Galeria Dominikańska),Plac Grunwaldzki / Polaka,7
25,136410106,651211,2022-01-29 00:25:37,2022-01-29 00:35:18,Obornicka / Bałtycka,Berenta / Kasprowicza,10
26,136409841,651494,2022-01-29 00:12:42,2022-01-29 00:35:52,Wróblewskiego (Teki),Wróblewskiego (Teki),24
27,136410171,650004,2022-01-29 00:29:07,2022-01-29 00:37:52,Mickiewicza / pętla tramwajowa,Miłoszycka / Swojczycka ,9
28,136410183,650582,2022-01-29 00:29:21,2022-01-29 00:37:56,pl. Powstańców Wielkopolskich,Plac Uniwersytecki (UWr),9
29,136410170,650245,2022-01-29 00:29:05,2022-01-29 00:38:09,pl. Powstańców Wielkopolskich,Plac Uniwersytecki (UWr),10
30,136410049,651124,2022-01-29 00:22:59,2022-01-29 00:38:53,Szewska / Kazimierza Wielkiego ,Rakowiecka,16
31,136410048,57385,2022-01-29 00:22:58,2022-01-29 00:38:56,Szewska / Kazimierza Wielkiego ,Rakowiecka,16
