,UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
0,137023661,651218,2022-02-12 23:49:58,2022-02-13 00:01:55,Na Ostatnim Groszu,Bystrzycka / Idzikowskiego,12
1,137023784,57789,2022-02-12 23:56:21,2022-02-13 00:03:26,Plac Legionów,Żelazna / Pereca,8
2,137023714,57602,2022-02-12 23:52:41,2022-02-13 00:04:45,Dworzec Główny ,Poza stacją,13
3,137023800,57991,2022-02-12 23:56:59,2022-02-13 00:06:56,Marca Polo (Olimpia Port),Partyzantów / Okrzei,10
4,137023751,57322,2022-02-12 23:54:18,2022-02-13 00:07:22,Pereca / Grabiszyńska,Szewska / Kazimierza Wielkiego ,14
5,137023871,651207,2022-02-13 00:01:14,2022-02-13 00:07:48,Drobnera / Plac Bema,Żeromskiego / Daszyńskiego,7
6,137023869,650204,2022-02-13 00:01:12,2022-02-13 00:08:47,Plac Grunwaldzki / Polaka,Traugutta / Kościuszki,8
7,137023847,57741,2022-02-12 23:59:43,2022-02-13 00:09:35,Strzegomska / Estońska,Grabiszyńska / Aleja Hallera,10
8,137024019,650637,2022-02-13 00:09:17,2022-02-13 00:13:03,Wałbrzyska - pętla tramwajowa,Czekoladowa / Wałbrzyska,4
9,137023910,650998,2022-02-13 00:03:16,2022-02-13 00:13:06,Lotnicza / Bajana,Legnicka / Wejherowska,10
10,137024014,57292,2022-02-13 00:09:03,2022-02-13 00:14:46,Graniczna / Strzegomska,Strzegomska / Rogowska ,6
11,137024029,57154,2022-02-13 00:10:15,2022-02-13 00:15:00,Gliniana / Gajowa,Nyska / Jesionowa,5
12,137023812,651317,2022-02-12 23:57:33,2022-02-13 00:16:35,Lotnicza / Na Ostatnim Groszu,Bezpieczna / Obornicka,20
13,137024066,57387,2022-02-13 00:12:05,2022-02-13 00:19:32,Żmigrodzka / Broniewskiego,Berenta / Kasprowicza,8
14,137024247,57417,2022-02-13 00:20:13,2022-02-13 00:22:54,Dyrekcyjna / Borowska (Wroclavia),Komandorska / Sanocka,3
15,137024294,650603,2022-02-13 00:22:53,2022-02-13 00:23:24,Dworzec Główny ,Dworzec Główny ,1
16,137024152,57305,2022-02-13 00:16:09,2022-02-13 00:24:15,Żeromskiego / Kluczborska,Kurkowa / Dubois,9
17,137023783,650014,2022-02-12 23:56:21,2022-02-13 00:24:19,Plac Legionów,Żelazna / Pereca,28
18,137024150,57901,2022-02-13 00:16:05,2022-02-13 00:24:39,Dyrekcyjna / Borowska (Wroclavia),al. Armii Krajowej / Borowska,9
19,137024174,651317,2022-02-13 00:17:09,2022-02-13 00:25:41,Bezpieczna / Obornicka,Kamieńskiego / Jutrosińska,9
20,137024323,650413,2022-02-13 00:24:08,2022-02-13 00:26:41,Komandorska / Sanocka,Komandorska / Kamienna,3
21,137024197,650453,2022-02-13 00:18:23,2022-02-13 00:26:47,Kazimierza Wielkiego (Helios),Drobnera / Plac Bema,9
