,UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
0,141910329,651248,2022-04-27 23:48:58,2022-04-28 00:00:06,Drobnera / Dubois,Zachodnia / Poznańska,12
1,141910120,57019,2022-04-27 23:42:49,2022-04-28 00:00:33,Świdnicka / Piłsudskiego (Hotel Scandic),Wałbrzyska - pętla tramwajowa,18
2,141910556,57642,2022-04-27 23:56:44,2022-04-28 00:01:08,Kozanowska / Pilczycka,Poza stacją,5
3,141910457,650910,2022-04-27 23:53:18,2022-04-28 00:02:00,Powstańcow Śląskich / Aleja Hallera,"Grochowa / Jemiołowa,",9
4,141909978,650472,2022-04-27 23:39:09,2022-04-28 00:02:09,Bałtycka / Żmigrodzka,Berenta / Kasprowicza,23
5,141910443,650884,2022-04-27 23:52:51,2022-04-28 00:02:47,Ślężna / Kamienna (Uniw. Ekonomiczny),Ślężna / pętla tramwajowa,10
6,141910673,651491,2022-04-28 00:01:14,2022-04-28 00:02:48,pl. Orląt Lwowskich,pl. Orląt Lwowskich,2
7,141910482,650929,2022-04-27 23:54:18,2022-04-28 00:02:59,Dyrekcyjna / Borowska (Wroclavia),al. Armii Krajowej / Borowska,9
8,141910726,57701,2022-04-28 00:02:47,2022-04-28 00:03:48,Wyszyńskiego / Szczytnicka,Wyszyńskiego / Szczytnicka,2
9,141910419,651154,2022-04-27 23:51:59,2022-04-28 00:04:04,Dyrekcyjna / Borowska (Wroclavia),Zaporoska / Grabiszyńska,13
10,141910209,650551,2022-04-27 23:45:14,2022-04-28 00:04:44,Powstańców Śląskich/Orla,Plac Strzegomski / Poznańska,20
11,141910276,651334,2022-04-27 23:47:22,2022-04-28 00:06:25,Krucza / Mielecka / Stalowa,Kamienna / Borowska (Aquapark),20
12,141910051,57496,2022-04-27 23:40:49,2022-04-28 00:06:28,Rondo Reagana,Aleja Hallera / Mielecka,26
13,141910315,651536,2022-04-27 23:48:27,2022-04-28 00:06:32,Krucza / Mielecka / Stalowa,Kamienna / Borowska (Aquapark),19
