,UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
0,138099417,57184,2022-03-07 23:49:18,2022-03-08 00:00:06,Dworzec Główny ,Nyska / Jesionowa,11
1,138099539,650589,2022-03-07 23:58:06,2022-03-08 00:01:14,Kamienna / Borowska (Aquapark),Kamienna / Tomaszowska,4
2,138099502,57623,2022-03-07 23:55:22,2022-03-08 00:03:25,Ślężna / Kamienna (Uniw. Ekonomiczny),Zaporoska / Gajowicka,9
3,138099474,650045,2022-03-07 23:52:59,2022-03-08 00:03:31,Kurkowa / Dubois,Kraszewskiego / Trzebnicka,11
4,138099290,57110,2022-03-07 23:39:19,2022-03-08 00:03:33,al. Armii Krajowej / Borowska,Plac Dominikański (Galeria Dominikańska),25
5,138099411,651336,2022-03-07 23:49:02,2022-03-08 00:04:03,Berenta / Kasprowicza,Kraszewskiego / Trzebnicka,16
6,138099409,57562,2022-03-07 23:48:51,2022-03-08 00:04:10,Berenta / Kasprowicza,Kraszewskiego / Trzebnicka,16
7,138099601,650273,2022-03-08 00:04:56,2022-03-08 00:05:28,Powstańców Śląskich/Orla,Powstańców Śląskich/Orla,1
8,138099588,57060,2022-03-08 00:03:45,2022-03-08 00:07:10,Nowowiejska / Jedności Narodowej,Nowowiejska / Górnickiego,4
9,138099441,651355,2022-03-07 23:50:52,2022-03-08 00:08:05,al. Kochanowskiego / Kopernika,Wita Stwosza / Szewska,18
10,138099472,650657,2022-03-07 23:52:51,2022-03-08 00:09:36,Dyrekcyjna / Borowska (Wroclavia),Powstańców Śląskich/Orla,17
11,138099514,57268,2022-03-07 23:56:29,2022-03-08 00:12:03,Świeradowska (Ferio Gaj ),Ślężna / Kamienna (Uniw. Ekonomiczny),16
12,138099650,650390,2022-03-08 00:08:55,2022-03-08 00:13:42,al. Poprzeczna / stacja kolejowa,Sołtysowicka / Redycka,5
13,138099691,650273,2022-03-08 00:13:19,2022-03-08 00:13:56,Przyjaźni / Karkonoska,Przyjaźni / Karkonoska,1
14,138099585,57979,2022-03-08 00:03:14,2022-03-08 00:14:18,Gazowa / Międzyleska,Jagodzińska / Buforowa,12
15,138099710,651072,2022-03-08 00:15:10,2022-03-08 00:17:36,Zachodnia / Poznańska,Legnicka / Zachodnia ,3
16,138099603,650078,2022-03-08 00:04:58,2022-03-08 00:20:16,Poniatowskiego / Oleśnicka,Traugutta / Kościuszki,16
17,138099644,650954,2022-03-08 00:08:29,2022-03-08 00:20:28,Dworzec Główny ,Rondo Reagana,12
18,138099639,650427,2022-03-08 00:08:03,2022-03-08 00:22:20,Kraszewskiego / Trzebnicka,Piaskowa / św. Ducha,15
19,138099637,57562,2022-03-08 00:07:53,2022-03-08 00:22:21,Kraszewskiego / Trzebnicka,Piaskowa / św. Ducha,15
20,138099739,57843,2022-03-08 00:17:29,2022-03-08 00:23:37,Plac Uniwersytecki (UWr),Nowowiejska / Jedności Narodowej,7
21,138099783,650062,2022-03-08 00:21:36,2022-03-08 00:29:13,Plac Jana Pawła II (Akademia Muzyczna),Kurkowa / Dubois,8
22,138099745,57493,2022-03-08 00:17:46,2022-03-08 00:29:23,pl. Orląt Lwowskich,Komandorska / Kamienna,12
23,138099752,650834,2022-03-08 00:18:28,2022-03-08 00:29:44,pl. Orląt Lwowskich,Komandorska / Kamienna,12
24,138099839,650605,2022-03-08 00:27:34,2022-03-08 00:34:34,Jedności Narodowej / Wyszyńskiego,Sienkiewicza / Wyszyńskiego,7
25,138099871,650919,2022-03-08 00:31:46,2022-03-08 00:34:45,Sienkiewicza / Wyszyńskiego,Sienkiewicza / Piastowska,3
26,138099876,651372,2022-03-08 00:32:10,2022-03-08 00:35:53,Piaskowa / św. Ducha,Szewska / Kazimierza Wielkiego ,4
27,138099742,651179,2022-03-08 00:17:39,2022-03-08 00:36:01,Rondo Reagana,"Olszewskiego, pętla tramwajowa",19
28,138099505,650525,2022-03-07 23:55:25,2022-03-08 00:36:58,Legnicka (Park Magnolia),Lotnicza / Bajana,42
29,138099866,650828,2022-03-08 00:31:25,2022-03-08 00:37:05,Sienkiewicza / Wyszyńskiego,Piaskowa / św. Ducha,6
30,138099773,651277,2022-03-08 00:20:13,2022-03-08 00:37:19,Na Ostatnim Groszu,Strzegomska / Rogowska ,18
31,138099842,57562,2022-03-08 00:27:57,2022-03-08 00:38:23,Piaskowa / św. Ducha,Plac Kościuszki (Renoma),11
32,138099844,650427,2022-03-08 00:28:03,2022-03-08 00:38:36,Piaskowa / św. Ducha,Plac Kościuszki (Renoma),11
33,138098663,650958,2022-03-07 23:00:33,2022-03-08 00:39:11,Zwycięska / Agrestowa,Zwycięska / Ołtaszyńska,99
34,138099911,650749,2022-03-08 00:35:58,2022-03-08 00:39:56,Zachodnia / Poznańska,Legnicka / Młodych Techników,4
35,138099531,57999,2022-03-07 23:57:17,2022-03-08 00:40:01,Legnicka (Park Magnolia),Pilczycka / Kozanowska,43
36,138099802,650422,2022-03-08 00:23:34,2022-03-08 00:40:04,Nowowiejska / Jedności Narodowej,Żeromskiego / Daszyńskiego,17
37,138099840,57354,2022-03-08 00:27:34,2022-03-08 00:40:05,Oporów (pętla tramwajowa),Grabiszyńska / Stalowa,13
38,138099857,57360,2022-03-08 00:29:59,2022-03-08 00:40:57,Poza stacją,Plac Jana Pawła II (Akademia Muzyczna),11
39,138099887,650266,2022-03-08 00:33:31,2022-03-08 00:42:58,Rynek,Pereca / Grabiszyńska,10
40,138099962,651271,2022-03-08 00:40:31,2022-03-08 00:45:50,Dworzec Główny ,Kościuszki / Komuny Paryskiej / Zgodna,6
41,138099973,650427,2022-03-08 00:41:41,2022-03-08 00:47:36,Plac Kościuszki (Renoma),Wita Stwosza / Szewska,6
42,138099972,57562,2022-03-08 00:41:41,2022-03-08 00:47:39,Plac Kościuszki (Renoma),Wita Stwosza / Szewska,6
43,138099894,650657,2022-03-08 00:34:15,2022-03-08 00:48:56,Powstańców Śląskich/Orla,Klecińska (Wrocław Grabiszyn),15
44,138099897,57567,2022-03-08 00:34:47,2022-03-08 00:50:18,Sienkiewicza / Wyszyńskiego,Ślężna / Kamienna (Uniw. Ekonomiczny),16
45,138099998,650664,2022-03-08 00:44:58,2022-03-08 00:51:17,Rynek,Legnicka / Młodych Techników,7
46,138099988,57209,2022-03-08 00:43:58,2022-03-08 00:53:34,Wróblewskiego (Teki),Łukasiewicza / Smoluchowskiego (PWr),10
47,138099995,650642,2022-03-08 00:44:42,2022-03-08 00:53:47,Dyrekcyjna / Borowska (Wroclavia),al. Armii Krajowej / Bardzka,10
48,138099979,57459,2022-03-08 00:42:52,2022-03-08 00:55:00,Plac Grunwaldzki (DS Ołówek),Kościuszki / Komuny Paryskiej / Zgodna,13
49,138100030,651273,2022-03-08 00:49:28,2022-03-08 00:59:11,Żmigrodzka / Broniewskiego,Poza stacją,10
50,138100032,651221,2022-03-08 00:49:44,2022-03-08 00:59:43,Poza stacją,Legnicka / Zachodnia ,10
51,138100022,650311,2022-03-08 00:47:42,2022-03-08 01:00:48,Legnicka / Wejherowska,Graniczna / Strzegomska,14
52,138100052,650953,2022-03-08 00:51:29,2022-03-08 01:01:25,Plac Jana Pawła II (Akademia Muzyczna),Zaporoska / Grabiszyńska,10
53,138100047,650977,2022-03-08 00:51:13,2022-03-08 01:05:48,Otyńska,Pilczycka / Kozanowska,15
54,138100130,57487,2022-03-08 01:03:45,2022-03-08 01:15:25,Pereca / Grabiszyńska,Dworzec Główny ,12
55,138100113,57346,2022-03-08 01:01:02,2022-03-08 01:16:21,Pilczycka / Kozanowska,Legnicka (Park Magnolia),16
56,138100171,57551,2022-03-08 01:10:19,2022-03-08 01:16:33,Obornicka / Bałtycka,Kamieńskiego / Jutrosińska,7
57,138100163,650512,2022-03-08 01:08:56,2022-03-08 01:16:59,Drobnera / Plac Bema,Kurkowa / Dubois,9
58,138100225,651544,2022-03-08 01:18:43,2022-03-08 01:19:47,Poniatowskiego / Oleśnicka,Poniatowskiego / Oleśnicka,2
59,138100161,651257,2022-03-08 01:08:09,2022-03-08 01:20:11,Gliniana / Gajowa,"Grochowa / Jemiołowa,",13
60,138100159,650608,2022-03-08 01:07:58,2022-03-08 01:21:21,Dyrekcyjna / Borowska (Wroclavia),Świeradowska / Krynicka,14
61,138100197,650389,2022-03-08 01:14:12,2022-03-08 01:25:41,Kamienna / Borowska (Aquapark),Świeradowska (Ferio Gaj ),12
62,138100210,650392,2022-03-08 01:16:34,2022-03-08 01:30:19,Plac Grunwaldzki (DS Ołówek),Wróblewskiego (Teki),14
63,138100190,650806,2022-03-08 01:12:57,2022-03-08 01:31:05,Fosa Miejska ,Nowowiejska / Wyszyńskiego,19
64,138100234,650152,2022-03-08 01:20:10,2022-03-08 01:36:28,Poniatowskiego / Oleśnicka,Ślężna / Aleja Wiśniowa,17
