,UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
0,147209623,651204,2022-06-08 23:41:28,2022-06-09 00:00:44,Piaskowa / św. Ducha,Legnicka (Park Magnolia),20
1,147209881,57696,2022-06-08 23:47:30,2022-06-09 00:00:46,al. Armii Krajowej / Bardzka,Ślężna / pętla tramwajowa,14
2,147209482,651132,2022-06-08 23:38:56,2022-06-09 00:00:47,Poza stacją,Poza stacją,22
3,147209679,57372,2022-06-08 23:42:41,2022-06-09 00:00:48,Kazimierza Wielkiego (Helios),al. Kochanowskiego / Śniadeckich ,19
4,147209737,651603,2022-06-08 23:44:23,2022-06-09 00:01:11,Plac Grunwaldzki (DS Ołówek),Kazimierza Wielkiego (Helios),17
5,147210294,650924,2022-06-08 23:57:16,2022-06-09 00:01:25,Lotnicza / Na Ostatnim Groszu,Kozanowska / Pilczycka,5
6,147210241,57107,2022-06-08 23:55:54,2022-06-09 00:01:29,Kościuszki / Komuny Paryskiej / Zgodna,Plac Dominikański (Galeria Dominikańska),6
7,147210131,57014,2022-06-08 23:52:44,2022-06-09 00:01:32,Nowowiejska / Górnickiego,Promenady Wrocławskie,9
8,147209827,57765,2022-06-08 23:46:13,2022-06-09 00:01:45,Kazimierza Wielkiego (Helios),Poza stacją,16
9,147209850,650408,2022-06-08 23:46:51,2022-06-09 00:01:46,Kazimierza Wielkiego (Helios),Poza stacją,15
10,147209795,650344,2022-06-08 23:45:47,2022-06-09 00:01:53,Kazimierza Wielkiego (Helios),Poza stacją,17
11,147210058,57967,2022-06-08 23:51:02,2022-06-09 00:02:05,Kazimierza Wielkiego (Helios),Zaporoska / Gajowicka,12
12,147210462,57998,2022-06-09 00:01:53,2022-06-09 00:02:35,Wita Stwosza / Szewska,Wita Stwosza / Szewska,1
13,147209811,651224,2022-06-08 23:46:01,2022-06-09 00:02:39,Kazimierza Wielkiego (Helios),Poza stacją,17
14,147210043,650387,2022-06-08 23:50:44,2022-06-09 00:02:49,Kazimierza Wielkiego (Helios),Zaporoska / Gajowicka,13
15,147210267,650525,2022-06-08 23:56:26,2022-06-09 00:02:53,Wyszyńskiego / Szczytnicka,Traugutta / Pułaskiego,7
16,147210269,57440,2022-06-08 23:56:29,2022-06-09 00:03:11,Wyszyńskiego / Szczytnicka,Żeromskiego / Daszyńskiego,7
17,147210020,651208,2022-06-08 23:50:20,2022-06-09 00:04:19,Poza stacją,Poza stacją,14
18,147210223,57916,2022-06-08 23:55:23,2022-06-09 00:04:39,Kołłątaja / Podwale,Wyszyńskiego / Szczytnicka,10
19,147210002,57377,2022-06-08 23:49:52,2022-06-09 00:04:59,Legnicka (Park Magnolia),Legnicka / Młodych Techników,16
20,147210589,57280,2022-06-09 00:04:43,2022-06-09 00:05:11,Legnicka / Wejherowska,Legnicka / Wejherowska,1
21,147210057,57112,2022-06-08 23:51:02,2022-06-09 00:05:14,Poza stacją,Bacciarellego,15
22,147210416,651631,2022-06-09 00:00:36,2022-06-09 00:05:38,Poniatowskiego / Oleśnicka,Sienkiewicza / Wyszyńskiego,6
23,147210625,57471,2022-06-09 00:05:26,2022-06-09 00:06:01,Ślężna / Kamienna (Uniw. Ekonomiczny),Ślężna / Kamienna (Uniw. Ekonomiczny),1
24,147209408,650618,2022-06-08 23:37:35,2022-06-09 00:06:11,Plac Powstańców Śląskich,Czekoladowa / Wałbrzyska,29
25,147209985,650107,2022-06-08 23:49:24,2022-06-09 00:06:24,Janiszewskiego (PWr),Pereca / Grabiszyńska,17
26,147210537,57733,2022-06-09 00:03:31,2022-06-09 00:06:33,Hubska / Prudnicka,Nyska / Jesionowa,4
27,147210261,650878,2022-06-08 23:56:17,2022-06-09 00:06:54,al. Armii Krajowej / Bardzka,Traugutta / Kościuszki,11
28,147210647,650525,2022-06-09 00:06:13,2022-06-09 00:07:15,Traugutta / Pułaskiego,Traugutta / Pułaskiego,2
29,147208473,57911,2022-06-08 23:20:02,2022-06-09 00:07:33,Poniatowskiego / Oleśnicka,Hermanowska / Kołobrzeska,48
30,147209797,650446,2022-06-08 23:45:48,2022-06-09 00:07:41,pl. Powstańców Wielkopolskich,Krzywoustego / Korona,22
31,147209792,650510,2022-06-08 23:45:41,2022-06-09 00:07:46,pl. Powstańców Wielkopolskich,Krzywoustego / Korona,23
32,147210382,651551,2022-06-08 23:59:29,2022-06-09 00:07:47,Kościuszki / Pułaskiego,Hubska / Prudnicka,9
33,147210367,650585,2022-06-08 23:59:09,2022-06-09 00:07:49,Kazimierza Wielkiego (Helios),Plac Strzegomski / Poznańska,9
34,147210344,650224,2022-06-08 23:58:36,2022-06-09 00:07:56,Kazimierza Wielkiego (Helios),Plac Strzegomski / Poznańska,10
35,147210317,651069,2022-06-08 23:57:53,2022-06-09 00:08:07,Kościuszki / Pułaskiego,Piaskowa / św. Ducha,11
36,147209866,650564,2022-06-08 23:47:12,2022-06-09 00:08:34,al. Armii Krajowej / Bardzka,Janiszewskiego (PWr),22
