,UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
0,138545423,650696,2022-03-14 23:48:11,2022-03-15 00:01:22,Aleja Kromera,Nowowiejska / Wyszyńskiego,14
1,138545528,57406,2022-03-14 23:54:46,2022-03-15 00:02:52,Wita Stwosza / Szewska,Plac Świętego Macieja / Trzebnicka,9
2,138545491,57903,2022-03-14 23:52:40,2022-03-15 00:05:46,al. Armii Krajowej / Borowska,Powstańców Śląskich/Orla,14
3,138545700,57482,2022-03-15 00:06:47,2022-03-15 00:09:18,Zachodnia / Poznańska,Legnicka / Zachodnia ,3
4,138545599,651070,2022-03-14 23:58:59,2022-03-15 00:10:16,Poza stacją,Kościuszki / Pułaskiego,12
5,138545594,650866,2022-03-14 23:58:32,2022-03-15 00:10:38,Szewska / Kazimierza Wielkiego ,Kościuszki / Pułaskiego,13
6,138545765,651046,2022-03-15 00:11:23,2022-03-15 00:11:57,al. Poprzeczna / stacja kolejowa,al. Poprzeczna / stacja kolejowa,1
7,138545742,57048,2022-03-15 00:09:31,2022-03-15 00:12:06,Lotnicza / Na Ostatnim Groszu,Legnicka / Wejherowska,3
8,138545190,650197,2022-03-14 23:32:59,2022-03-15 00:12:43,"Grochowa / Jemiołowa,",Kiełczowska,40
9,138545691,57831,2022-03-15 00:06:10,2022-03-15 00:14:19,Powstańców Śląskich/Orla,Racławicka / Rymarska,9
10,138545820,651306,2022-03-15 00:15:47,2022-03-15 00:16:32,Grabiszyńska / Stalowa,Grabiszyńska / Stalowa,1
11,138545762,650022,2022-03-15 00:11:10,2022-03-15 00:16:46,Świdnicka / Piłsudskiego (Hotel Scandic),Zaporoska / Grabiszyńska,6
12,138545840,651398,2022-03-15 00:17:18,2022-03-15 00:17:54,Dyrekcyjna / Borowska (Wroclavia),Dyrekcyjna / Borowska (Wroclavia),1
13,138545781,650755,2022-03-15 00:12:16,2022-03-15 00:19:45,Dworzec Główny ,Szewska / Kazimierza Wielkiego ,8
14,138545837,57738,2022-03-15 00:17:03,2022-03-15 00:20:45,Plac Legionów,Plac Jana Pawła II (Akademia Muzyczna),4
15,138545792,650121,2022-03-15 00:14:05,2022-03-15 00:25:32,Plac Dominikański (Galeria Dominikańska),Sienkiewicza / Piastowska,12
16,138545775,650786,2022-03-15 00:11:56,2022-03-15 00:27:43,Poniatowskiego / Oleśnicka,Kościuszki / Komuny Paryskiej / Zgodna,16
17,138545805,650934,2022-03-15 00:14:47,2022-03-15 00:28:57,Plac Grunwaldzki (DS Ołówek),Wyszyńskiego / Szczytnicka,15
18,138545796,57765,2022-03-15 00:14:25,2022-03-15 00:29:50,Świeradowska (Ferio Gaj ),Komandorska / Sanocka,16
19,138545746,57497,2022-03-15 00:09:35,2022-03-15 00:32:24,Plac Uniwersytecki (UWr),Nowowiejska / Jedności Narodowej,23
20,138545908,650789,2022-03-15 00:22:49,2022-03-15 00:33:27,Kamienna / Tomaszowska,Komandorska / Sanocka,11
21,138545964,650616,2022-03-15 00:29:51,2022-03-15 00:33:28,Gorlicka/Stanety,Gorlicka/Stanety,4
22,138545955,650871,2022-03-15 00:28:49,2022-03-15 00:37:26,Grabiszyńska / Stalowa,Aleja Hallera / Mielecka,9
23,138545951,57804,2022-03-15 00:27:58,2022-03-15 00:38:01,Dyrekcyjna / Borowska (Wroclavia),al. Armii Krajowej / Borowska,11
24,138545949,57243,2022-03-15 00:27:40,2022-03-15 00:43:04,Szewska / Kazimierza Wielkiego ,Komandorska / Kamienna,16
25,138546074,650515,2022-03-15 00:42:04,2022-03-15 00:44:28,Plac Grunwaldzki (DS Ołówek),Poza stacją,3
26,138545884,57620,2022-03-15 00:21:01,2022-03-15 00:44:32,Dyrekcyjna / Borowska (Wroclavia),Mościckiego (stacja kolejowa),24
27,138545968,650209,2022-03-15 00:30:12,2022-03-15 00:44:33,Plac Strzegomski / Poznańska,Lotnicza / Na Ostatnim Groszu,15
28,138544986,57852,2022-03-14 23:22:32,2022-03-15 00:47:31,Poza stacją,Poza stacją,85
29,138545967,651562,2022-03-15 00:29:59,2022-03-15 00:48:05,Wyszyńskiego / Szczytnicka,Koszarowa / UWr,19
30,138546122,650232,2022-03-15 00:47:09,2022-03-15 00:48:07,.RELOKACYJNA,.RELOKACYJNA,1
31,138546018,650975,2022-03-15 00:34:35,2022-03-15 00:49:49,Wita Stwosza / Szewska,Nowowiejska / Jedności Narodowej,16
32,138545832,650374,2022-03-15 00:16:37,2022-03-15 00:51:29,Na Ostatnim Groszu,Jedności Narodowej / Wyszyńskiego,35
33,138546111,57200,2022-03-15 00:45:59,2022-03-15 00:51:45,Sienkiewicza / Piastowska,Poza stacją,6
34,138546081,57672,2022-03-15 00:42:54,2022-03-15 00:53:29,Powstańców Śląskich/Orla,Krucza / Mielecka / Stalowa,11
35,138545901,57624,2022-03-15 00:21:59,2022-03-15 00:53:31,Rynek,Racławicka / Rymarska,32
36,138546219,650885,2022-03-15 00:56:52,2022-03-15 00:59:12,Dworzec Główny ,Kołłątaja / Podwale,3
37,138546161,650875,2022-03-15 00:51:21,2022-03-15 01:00:55,Żmigrodzka / Broniewskiego,Poza stacją,10
38,138546104,57383,2022-03-15 00:45:04,2022-03-15 01:03:15,Kazimierza Wielkiego (Helios),Powstańców Śląskich/Orla,19
39,138546216,650260,2022-03-15 00:56:35,2022-03-15 01:06:23,Kozanowska / Pilczycka,Legnicka / Zachodnia ,10
40,138546202,57792,2022-03-15 00:55:02,2022-03-15 01:07:47,Strzegomska / Estońska,Pilczycka / Koszykarska,13
41,138546218,650485,2022-03-15 00:56:45,2022-03-15 01:09:16,Wróblewskiego (Teki),Sienkiewicza / Wyszyńskiego,13
42,138546289,650250,2022-03-15 01:06:19,2022-03-15 01:11:19,Traugutta / Pułaskiego,"Dworzec Główny, południe",5
43,138546273,57903,2022-03-15 01:03:37,2022-03-15 01:12:09,Powstańców Śląskich/Orla,Wałbrzyska - pętla tramwajowa,9
44,138546254,651464,2022-03-15 01:01:17,2022-03-15 01:17:45,Dyrekcyjna / Borowska (Wroclavia),Tarnogajska / Klimasa,17
45,138546287,650870,2022-03-15 01:06:16,2022-03-15 01:18:59,Wałbrzyska - pętla tramwajowa,Solskiego / al. Piastów,13
46,138546352,651520,2022-03-15 01:16:21,2022-03-15 01:20:22,"Kosmonautów / Fieldorfa, szpital wojewódzki",Boguszowska / Kosmonautów,5
47,138546314,650204,2022-03-15 01:09:47,2022-03-15 01:21:04,Gliniana / Gajowa,"Grochowa / Jemiołowa,",12
48,138546188,57396,2022-03-15 00:54:06,2022-03-15 01:21:23,Dworzec Główny ,Poza stacją,28
49,138546294,57663,2022-03-15 01:06:58,2022-03-15 01:22:19,al. Kochanowskiego / Kopernika,Plac Dominikański (Galeria Dominikańska),16
50,138546333,650173,2022-03-15 01:13:19,2022-03-15 01:30:07,Pilczycka / Kozanowska,Otyńska,17
51,138546370,650521,2022-03-15 01:18:30,2022-03-15 01:30:18,Wita Stwosza / Szewska,Nowowiejska / Górnickiego,12
52,138546369,57900,2022-03-15 01:18:22,2022-03-15 01:30:28,Wita Stwosza / Szewska,Nowowiejska / Górnickiego,13
53,138546374,650572,2022-03-15 01:18:45,2022-03-15 01:30:40,Wita Stwosza / Szewska,Nowowiejska / Górnickiego,12
54,138546371,57329,2022-03-15 01:18:31,2022-03-15 01:30:43,Wita Stwosza / Szewska,Nowowiejska / Górnickiego,13
55,138546336,650755,2022-03-15 01:14:05,2022-03-15 01:33:50,Szewska / Kazimierza Wielkiego ,Nyska / Jesionowa,20
56,138546117,650209,2022-03-15 00:46:43,2022-03-15 01:34:42,Lotnicza / Na Ostatnim Groszu,Plac Strzegomski / Poznańska,48
57,138546428,651209,2022-03-15 01:27:39,2022-03-15 01:34:43,Rynek,Kołłątaja / Podwale,8
58,138546360,650311,2022-03-15 01:17:21,2022-03-15 01:36:11,Kurkowa / Dubois,Berenta / Kasprowicza,19
59,138546431,57322,2022-03-15 01:28:04,2022-03-15 01:37:37,Poniatowskiego / Oleśnicka,Plac Dominikański (Galeria Dominikańska),10
60,138546420,650309,2022-03-15 01:26:31,2022-03-15 01:37:39,Poniatowskiego / Oleśnicka,Plac Dominikański (Galeria Dominikańska),12
61,138546393,650229,2022-03-15 01:21:45,2022-03-15 01:37:41,Komandorska / Sanocka,Krzycka / Aleja Karkonoska (Park Południowy),16
62,138546437,650392,2022-03-15 01:28:51,2022-03-15 01:37:42,Poniatowskiego / Oleśnicka,Poza stacją,9
63,138546209,650125,2022-03-15 00:55:44,2022-03-15 01:39:14,"Paprotna / Obornicka, zajezdnia MPK",Opolska / Siemianowicka,44
64,138546402,651457,2022-03-15 01:23:41,2022-03-15 01:42:25,Bardzka (cmentarz),Ślężna / Kamienna (Uniw. Ekonomiczny),19
65,138546401,650835,2022-03-15 01:23:37,2022-03-15 01:42:28,Bardzka (cmentarz),Ślężna / Kamienna (Uniw. Ekonomiczny),19
66,138546537,57965,2022-03-15 01:47:57,2022-03-15 01:57:32,Plac Legionów,Poniatowskiego / Oleśnicka,10
67,138546567,651236,2022-03-15 01:54:32,2022-03-15 01:57:45,Plac Powstańców Śląskich,Powstańcow Śląskich / Aleja Hallera,4
68,138546339,57716,2022-03-15 01:14:15,2022-03-15 02:01:07,Szewska / Kazimierza Wielkiego ,Poza stacją,47
69,138546606,57727,2022-03-15 02:02:31,2022-03-15 02:06:29,Poza stacją,Partyzantów / Okrzei,4
