,UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
0,139055648,57143,2022-03-21 23:35:20,2022-03-22 00:01:54,al. Armii Krajowej / Tarnogajska,Opolska / pętla tramwajowa,27
1,139055843,57045,2022-03-21 23:45:16,2022-03-22 00:02:00,Poza stacją,Grabiszyńska / Magazynierska (Corte Verona),17
2,139056019,651373,2022-03-21 23:56:18,2022-03-22 00:02:32,Rondo Reagana,Wyszyńskiego / Szczytnicka,7
3,139056045,650345,2022-03-21 23:57:49,2022-03-22 00:02:33,Dyrekcyjna / Borowska (Wroclavia),Komandorska / Kamienna,5
4,139056031,57122,2022-03-21 23:57:03,2022-03-22 00:03:15,Poza stacją,Wróblewskiego (ZOO),7
5,139055978,57320,2022-03-21 23:53:37,2022-03-22 00:04:20,Poniatowskiego / Oleśnicka,Plac Grunwaldzki / Polaka,11
6,138842772,650987,2022-03-19 02:52:12,2022-03-22 00:04:34,Nowowiejska / Wyszyńskiego,Plac Grunwaldzki (DS Ołówek),4153
7,139055094,57574,2022-03-21 23:10:28,2022-03-22 00:08:21,pl. Powstańców Wielkopolskich,Promenady Wrocławskie,58
8,139055838,57853,2022-03-21 23:45:03,2022-03-22 00:08:45,Dyrekcyjna / Borowska (Wroclavia),Świeradowska (Ferio Gaj ),24
9,139056193,651333,2022-03-22 00:08:07,2022-03-22 00:09:14,Poza stacją,Świdnicka / Piłsudskiego (Hotel Scandic),2
10,139056074,650570,2022-03-21 23:59:18,2022-03-22 00:09:17,Poza stacją,Świdnicka / Piłsudskiego (Hotel Scandic),10
11,139056155,57911,2022-03-22 00:05:11,2022-03-22 00:09:29,al. Poprzeczna / stacja kolejowa,Sołtysowicka / Redycka,5
12,139056095,650343,2022-03-22 00:01:06,2022-03-22 00:10:00,Żeromskiego / Daszyńskiego,Plac Grunwaldzki (DS Ołówek),9
13,139055905,57400,2022-03-21 23:47:31,2022-03-22 00:12:42,Bacciarellego / pętla autobusowa,Wróblewskiego (Teki),26
14,139056201,57007,2022-03-22 00:08:29,2022-03-22 00:13:47,Poza stacją,Wróblewskiego (ZOO),6
15,139056184,57389,2022-03-22 00:07:30,2022-03-22 00:13:53,Rondo Reagana,Nowowiejska / Górnickiego,7
16,139056219,650776,2022-03-22 00:10:01,2022-03-22 00:15:31,Dyrekcyjna / Borowska (Wroclavia),Hubska / Prudnicka,6
17,139056248,57626,2022-03-22 00:12:09,2022-03-22 00:15:48,Poza stacją,Szewska / Kazimierza Wielkiego ,4
18,139056321,57559,2022-03-22 00:18:35,2022-03-22 00:20:43,Poza stacją,Szewska / Kazimierza Wielkiego ,3
19,139056292,650368,2022-03-22 00:15:18,2022-03-22 00:21:44,"Dworzec Główny, południe",Hubska / Prudnicka,7
20,139056123,650642,2022-03-22 00:02:42,2022-03-22 00:23:18,Legnicka / Zachodnia ,Poniatowskiego / Oleśnicka,21
21,139056254,651185,2022-03-22 00:12:31,2022-03-22 00:26:28,Na Ostatnim Groszu,Lotnicza / Metalowców,14
22,139056373,650541,2022-03-22 00:22:54,2022-03-22 00:31:37,Janiszewskiego (PWr),Piaskowa / św. Ducha,9
23,139056431,650563,2022-03-22 00:28:37,2022-03-22 00:31:49,Kamienna / Borowska (Aquapark),al. Armii Krajowej / Borowska,4
24,139056371,651333,2022-03-22 00:22:48,2022-03-22 00:32:03,Świdnicka / Piłsudskiego (Hotel Scandic),"Grochowa / Jemiołowa,",10
25,139056390,57263,2022-03-22 00:24:28,2022-03-22 00:32:23,pl. Orląt Lwowskich,Grabiszyńska / Stalowa,8
26,139056289,57810,2022-03-22 00:15:08,2022-03-22 00:33:16,Wróblewskiego (ZOO),Partyzantów / Okrzei,19
27,139056284,651504,2022-03-22 00:15:02,2022-03-22 00:33:20,Aleja Bielany,Skarbowców / Wietrzna,19
28,139056448,650075,2022-03-22 00:30:07,2022-03-22 00:35:14,Powstańców Śląskich/Orla,Racławicka / Rymarska,6
29,139056499,650860,2022-03-22 00:34:47,2022-03-22 00:35:20,Plac Grunwaldzki (DS Ołówek),Plac Grunwaldzki (DS Ołówek),1
30,139056410,650977,2022-03-22 00:26:33,2022-03-22 00:35:23,Skarbowców / Wietrzna,Ślężna / Skierniewicka,9
31,139056384,57890,2022-03-22 00:23:59,2022-03-22 00:38:11,Opolska / Siemianowicka,Mościckiego / Chińska ,15
32,139056430,650950,2022-03-22 00:28:36,2022-03-22 00:43:15,Poza stacją,"Dworzec Główny, południe",15
33,139056347,57870,2022-03-22 00:21:20,2022-03-22 00:45:11,Wałbrzyska - pętla tramwajowa,Plac Kościuszki (Renoma),24
34,139056504,651273,2022-03-22 00:35:32,2022-03-22 00:45:23,Plac Grunwaldzki (DS Ołówek),Żeromskiego / Daszyńskiego,10
