,UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
0,137105438,57053,2022-02-14 20:50:19,2022-02-15 00:07:38,Żelazna / Pereca,Powstańcow Śląskich / Aleja Hallera,198
1,137109426,650807,2022-02-15 00:05:27,2022-02-15 00:12:30,Plac Grunwaldzki (DS Ołówek),Nowowiejska / Jedności Narodowej,8
2,137109436,57318,2022-02-15 00:06:36,2022-02-15 00:12:47,Piaskowa / św. Ducha,Kurkowa / Dubois,7
3,137109462,651504,2022-02-15 00:09:37,2022-02-15 00:17:07,Nyska / Jesionowa,Kościuszki / Pułaskiego,8
4,137109411,650817,2022-02-15 00:04:16,2022-02-15 00:19:36,Plac Jana Pawła II (Akademia Muzyczna),Legnicka / Wejherowska,16
5,137109496,57725,2022-02-15 00:13:10,2022-02-15 00:21:38,Tarnogajska / Klimasa,al. Armii Krajowej / Bardzka,9
6,137109546,650892,2022-02-15 00:17:12,2022-02-15 00:27:28,Wyszyńskiego / Szczytnicka,Kościuszki / Pułaskiego,11
7,137109636,650057,2022-02-15 00:27:49,2022-02-15 00:28:15,Piaskowa / św. Ducha,Piaskowa / św. Ducha,1
8,137109587,650492,2022-02-15 00:21:55,2022-02-15 00:30:15,Piaskowa / św. Ducha,Jedności Narodowej / Wyszyńskiego,9
9,137109572,57751,2022-02-15 00:19:34,2022-02-15 00:30:27,Rynek,Kościuszki / Pułaskiego,11
10,137109577,57171,2022-02-15 00:19:53,2022-02-15 00:30:31,Rynek,Kościuszki / Pułaskiego,11
11,137109617,651242,2022-02-15 00:25:30,2022-02-15 00:34:58,Nyska / Jesionowa,Nyska / Jesionowa,10
12,137109588,651310,2022-02-15 00:22:07,2022-02-15 00:36:24,Kamienna / Tomaszowska,Tarnogajska / Klimasa,15
13,137109657,57751,2022-02-15 00:31:24,2022-02-15 00:37:22,Kościuszki / Pułaskiego,Gliniana / Gajowa,6
14,137109705,651496,2022-02-15 00:37:37,2022-02-15 00:38:24,Świdnicka / Piłsudskiego (Hotel Scandic),Świdnicka / Piłsudskiego (Hotel Scandic),1
15,137109668,651232,2022-02-15 00:32:33,2022-02-15 00:39:27,Dyrekcyjna / Borowska (Wroclavia),Świdnicka / Piłsudskiego (Hotel Scandic),7
16,137109716,57574,2022-02-15 00:39:04,2022-02-15 00:41:37,Zachodnia / Poznańska,Legnicka / Zachodnia ,3
