,UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
0,145267058,57662,2022-05-23 23:50:47,2022-05-24 00:01:02,Borowska (Uniw. Szpital Kliniczny),Krzycka / Aleja Karkonoska (Park Południowy),11
1,145267109,57416,2022-05-23 23:52:29,2022-05-24 00:01:35,Śrubowa / Strzegomska,Strzegomska / Estońska,10
2,145267248,650102,2022-05-23 23:56:33,2022-05-24 00:01:35,Poza stacją,Drobnera / Plac Bema,6
3,145267353,651529,2022-05-24 00:00:40,2022-05-24 00:01:42,Rynek,Rynek,2
4,145266836,651016,2022-05-23 23:45:10,2022-05-24 00:02:04,Plac Jana Pawła II (Akademia Muzyczna),Legnicka / Wejherowska,17
5,145266247,57884,2022-05-23 23:29:36,2022-05-24 00:02:16,Plac Kościuszki (Renoma),Wałbrzyska - pętla tramwajowa,33
6,145266888,651332,2022-05-23 23:46:36,2022-05-24 00:02:20,Plac Jana Pawła II (Akademia Muzyczna),Legnicka / Wejherowska,16
7,145265285,650406,2022-05-23 23:08:42,2022-05-24 00:02:25,Szczęśliwa (Sky Tower),Solskiego / al. Piastów,54
8,145267355,57112,2022-05-24 00:00:48,2022-05-24 00:02:32,Legnicka (Park Magnolia),Legnicka (Park Magnolia),2
9,145267188,57342,2022-05-23 23:54:31,2022-05-24 00:02:57,Plac Jana Pawła II (Akademia Muzyczna),Legnicka (Park Magnolia),9
10,145267372,57744,2022-05-24 00:01:21,2022-05-24 00:04:06,Piaskowa / św. Ducha,Piaskowa / św. Ducha,3
11,145267324,650135,2022-05-23 23:59:42,2022-05-24 00:04:54,Legnicka / Młodych Techników,Legnicka / Młodych Techników,6
12,145267166,650684,2022-05-23 23:53:57,2022-05-24 00:04:55,Dworzec Główny ,Rondo Reagana,11
13,145267338,650822,2022-05-24 00:00:14,2022-05-24 00:04:58,Poza stacją,Rynek,5
14,145267413,57674,2022-05-24 00:02:29,2022-05-24 00:06:33,Wyszyńskiego / Szczytnicka,Sienkiewicza / Wyszyńskiego,5
15,145267391,650134,2022-05-24 00:01:48,2022-05-24 00:06:57,Rynek,Rynek,6
16,145267287,650998,2022-05-23 23:58:24,2022-05-24 00:07:12,Rondo Reagana,Poza stacją,9
17,145265808,57360,2022-05-23 23:18:55,2022-05-24 00:07:52,"Dworzec Główny, południe",Legnicka / Wejherowska,49
18,145267033,650427,2022-05-23 23:50:13,2022-05-24 00:07:53,Reymonta / Kleczkowska,Kościuszki / Komuny Paryskiej / Zgodna,18
19,145267432,650050,2022-05-24 00:03:16,2022-05-24 00:09:33,Piławska,Grota-Roweckiego / Parafialna,7
20,145267494,57074,2022-05-24 00:06:28,2022-05-24 00:10:42,Plac Jana Pawła II (Akademia Muzyczna),Młodych Techników,5
21,145267423,650225,2022-05-24 00:02:53,2022-05-24 00:10:44,Pilczycka / Koszykarska,Lotnicza / Metalowców,8
22,145267318,57335,2022-05-23 23:59:27,2022-05-24 00:11:26,Poza stacją,Ślężna / Aleja Wiśniowa,12
23,145267526,57464,2022-05-24 00:07:34,2022-05-24 00:11:26,Legnicka (Park Magnolia),Legnicka / Zachodnia ,4
