,UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
0,138004802,650487,2022-03-05 23:52:37,2022-03-06 00:00:40,Dworzec Główny ,Hubska / Prudnicka,9
1,138004954,650957,2022-03-05 23:58:55,2022-03-06 00:02:10,Szewska / Kazimierza Wielkiego ,Plac Uniwersytecki (UWr),4
2,138004842,57235,2022-03-05 23:54:56,2022-03-06 00:04:18,Powstańcow Śląskich / Aleja Hallera,Kamienna / Tomaszowska,10
3,138004968,650104,2022-03-05 23:59:22,2022-03-06 00:05:50,Nowowiejska / Wyszyńskiego,Plac Powstańców Warszawy (Muzeum Narodowe),7
4,138004927,57244,2022-03-05 23:57:49,2022-03-06 00:08:15,"Dworzec Główny, południe",Ślężna / Aleja Wiśniowa,11
5,138004868,650635,2022-03-05 23:55:41,2022-03-06 00:08:56,Wyszyńskiego / Szczytnicka,Kurkowa / Dubois,14
6,138004938,650931,2022-03-05 23:58:04,2022-03-06 00:09:45,Powstańcow Śląskich / Aleja Hallera,Wałbrzyska - pętla tramwajowa,12
7,138004947,57691,2022-03-05 23:58:32,2022-03-06 00:10:20,Aleja Bielany,Czekoladowa / Wałbrzyska,12
8,138005117,57996,2022-03-06 00:05:41,2022-03-06 00:12:59,Powstańców Śląskich/Orla,Poza stacją,8
9,138004841,650432,2022-03-05 23:54:55,2022-03-06 00:13:18,Plac Świętego Macieja / Trzebnicka,Plac Świętego Macieja / Trzebnicka,19
10,138005064,650861,2022-03-06 00:03:49,2022-03-06 00:14:29,Plac Dominikański (Galeria Dominikańska),Sienkiewicza / Piastowska,11
11,138005253,57330,2022-03-06 00:12:27,2022-03-06 00:15:03,Zachodnia / Poznańska,Legnicka / Zachodnia ,3
12,138005219,57533,2022-03-06 00:10:47,2022-03-06 00:17:47,Poza stacją,Powstańcow Śląskich / Aleja Hallera,7
13,138005097,650824,2022-03-06 00:04:54,2022-03-06 00:18:30,Dworzec Główny ,Nowowiejska / Wyszyńskiego,14
14,138005203,651201,2022-03-06 00:09:58,2022-03-06 00:18:34,Lotnicza / Metalowców,Lotnicza / Na Ostatnim Groszu,9
15,138005324,650568,2022-03-06 00:16:08,2022-03-06 00:18:48,Ślężna / Kamienna (Uniw. Ekonomiczny),Ślężna / Aleja Wiśniowa,3
16,138005094,650759,2022-03-06 00:04:47,2022-03-06 00:19:09,Dworzec Główny ,Nowowiejska / Wyszyńskiego,15
17,138005143,650977,2022-03-06 00:06:50,2022-03-06 00:19:55,Mrągowska / Rolna,Pilczycka / Kozanowska,14
18,138005128,57857,2022-03-06 00:06:09,2022-03-06 00:20:11,Traugutta / Kościuszki,al. Armii Krajowej / Bardzka,15
19,138005405,650241,2022-03-06 00:19:10,2022-03-06 00:20:13,Poza stacją,Powstańcow Śląskich / Aleja Hallera,2
20,138005189,650181,2022-03-06 00:09:20,2022-03-06 00:20:40,Ślężna / Kamienna (Uniw. Ekonomiczny),Świeradowska (Ferio Gaj ),12
21,138005098,651238,2022-03-06 00:04:59,2022-03-06 00:20:47,Mrągowska / Rolna,Pilczycka / Kozanowska,16
22,138005110,650159,2022-03-06 00:05:24,2022-03-06 00:20:47,Mrągowska / Rolna,Pilczycka / Kozanowska,16
23,138005321,57252,2022-03-06 00:15:56,2022-03-06 00:25:10,Plac Strzegomski / Poznańska,Kazimierza Wielkiego (Helios),10
24,138005508,650610,2022-03-06 00:23:20,2022-03-06 00:26:14,Plac Uniwersytecki (UWr),Kurkowa / Dubois,3
25,138005294,57763,2022-03-06 00:14:27,2022-03-06 00:27:37,Aleja Kromera,Piaskowa / św. Ducha,14
26,138005485,650742,2022-03-06 00:22:09,2022-03-06 00:27:58,Rynek,Kazimierza Wielkiego (Helios),6
27,138005478,650428,2022-03-06 00:21:54,2022-03-06 00:28:06,Rynek,Kazimierza Wielkiego (Helios),7
