,UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
0,145834058,650898,2022-05-28 23:46:19,2022-05-29 00:00:00,Ślężna / Skierniewicka,Przyjaźni / Karkonoska,14
1,145834295,650440,2022-05-28 23:49:05,2022-05-29 00:00:00,Sienkiewicza / Piastowska,Wróblewskiego (Teki),11
2,145833925,650626,2022-05-28 23:44:42,2022-05-29 00:00:07,Pilczycka / Koszykarska,Legnicka / Wejherowska,16
3,145835016,651080,2022-05-28 23:59:43,2022-05-29 00:00:11,Janiszewskiego (PWr),Janiszewskiego (PWr),1
4,145833697,57878,2022-05-28 23:41:53,2022-05-29 00:00:21,Powstańców Śląskich (Arkady Wrocławskie),Skarbowców / Wietrzna,19
5,145834399,651182,2022-05-28 23:50:25,2022-05-29 00:00:37,Legnicka (Park Magnolia),Zachodnia / Poznańska,11
6,145833937,57881,2022-05-28 23:44:50,2022-05-29 00:00:44,Pilczycka / Koszykarska,Legnicka / Wejherowska,16
7,145833974,650854,2022-05-28 23:45:16,2022-05-29 00:00:44,Pilczycka / Koszykarska,Legnicka / Wejherowska,16
8,145833654,57819,2022-05-28 23:41:17,2022-05-29 00:00:48,al. Armii Krajowej / Bardzka,Przyjaźni,20
9,145834754,650019,2022-05-28 23:55:42,2022-05-29 00:00:52,Traugutta / Pułaskiego,Traugutta / Kościuszki,6
10,145834582,57392,2022-05-28 23:52:48,2022-05-29 00:01:05,Legnicka (Park Magnolia),Zachodnia / Poznańska,9
11,145834081,57374,2022-05-28 23:46:34,2022-05-29 00:02:01,Fosa Miejska ,al. Armii Krajowej / Borowska,16
12,145834351,650967,2022-05-28 23:49:52,2022-05-29 00:02:10,Kamienna / Borowska (Aquapark),Powstańców Śląskich (Arkady Wrocławskie),13
13,145834128,57320,2022-05-28 23:47:01,2022-05-29 00:02:17,Kosmonautów / Glinianki / WUWA2,Boguszowska / Kosmonautów,16
14,145834266,650710,2022-05-28 23:48:45,2022-05-29 00:02:21,Kosmonautów / Glinianki / WUWA2,Boguszowska / Kosmonautów,14
15,145834209,57201,2022-05-28 23:48:00,2022-05-29 00:02:28,Jagodzińska / Buforowa,al. Armii Krajowej / Bardzka,15
16,145834169,57417,2022-05-28 23:47:28,2022-05-29 00:02:33,Jagodzińska / Buforowa,al. Armii Krajowej / Bardzka,16
17,145835182,57043,2022-05-29 00:02:07,2022-05-29 00:02:40,Powstańców Śląskich (Arkady Wrocławskie),Powstańców Śląskich (Arkady Wrocławskie),1
18,145834069,650452,2022-05-28 23:46:26,2022-05-29 00:03:01,Wita Stwosza / Szewska,al. Kochanowskiego / Śniadeckich ,17
19,145834251,651195,2022-05-28 23:48:34,2022-05-29 00:03:04,Bezpieczna / Obornicka,Kamieńskiego,15
20,145834549,650688,2022-05-28 23:52:26,2022-05-29 00:03:09,al. Armii Krajowej / Borowska,Plac Powstańców Śląskich,11
21,145834239,57429,2022-05-28 23:48:24,2022-05-29 00:03:16,Bezpieczna / Obornicka,Kamieńskiego,15
22,145834743,651207,2022-05-28 23:55:35,2022-05-29 00:03:27,Kościuszki / Pułaskiego,Kamienna / Borowska (Aquapark),8
23,145834740,650821,2022-05-28 23:55:27,2022-05-29 00:03:30,Kościuszki / Pułaskiego,Kamienna / Borowska (Aquapark),9
