,UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
0,140500416,651557,2022-04-10 23:56:27,2022-04-11 00:00:26,Powstańców Śląskich/Orla,Krzycka / Aleja Karkonoska (Park Południowy),4
1,140500490,650070,2022-04-11 00:01:14,2022-04-11 00:01:45,Rondo Reagana,Rondo Reagana,1
2,140500501,651296,2022-04-11 00:01:56,2022-04-11 00:02:22,Rondo Reagana,Rondo Reagana,1
3,140500378,651482,2022-04-10 23:54:01,2022-04-11 00:02:38,Wyszyńskiego / Szczytnicka,Kościuszki / Pułaskiego,9
4,140500379,650331,2022-04-10 23:54:04,2022-04-11 00:03:20,Wita Stwosza / Szewska,Rondo Reagana,10
5,140500227,57211,2022-04-10 23:43:48,2022-04-11 00:03:46,Na Ostatnim Groszu,Mińska / Stanisławowska,20
6,140500432,651270,2022-04-10 23:57:41,2022-04-11 00:03:56,Dyrekcyjna / Borowska (Wroclavia),Kościuszki / Pułaskiego,7
7,140500353,650114,2022-04-10 23:51:49,2022-04-11 00:04:16,Poza stacją,Poza stacją,13
8,140500289,651560,2022-04-10 23:47:05,2022-04-11 00:04:20,Kościuszki / Komuny Paryskiej / Zgodna,Stacyjna (Dworzec Mikołajów),18
9,140500310,57875,2022-04-10 23:48:39,2022-04-11 00:04:47,Grabiszyńska / Aleja Hallera,Mińska / Stanisławowska,17
10,140500424,650633,2022-04-10 23:56:57,2022-04-11 00:05:55,pl. Orląt Lwowskich,Legnicka (Park Magnolia),9
11,140500351,57178,2022-04-10 23:51:35,2022-04-11 00:06:47,Kołłątaja / Podwale,Nowowiejska / Górnickiego,16
12,140500287,57416,2022-04-10 23:46:56,2022-04-11 00:07:04,al. Armii Krajowej / Bardzka,Hallera / Odkrywców,21
13,140500438,57453,2022-04-10 23:58:16,2022-04-11 00:07:43,Kazimierza Wielkiego (Helios),Kościuszki / Pułaskiego,10
14,140500533,651246,2022-04-11 00:03:26,2022-04-11 00:07:53,al. Poprzeczna / stacja kolejowa,Sołtysowicka / Redycka,5
15,140500485,650202,2022-04-11 00:01:01,2022-04-11 00:09:52,Drobnera / Plac Bema,Plac Grunwaldzki (DS Ołówek),9
16,140500556,57986,2022-04-11 00:05:38,2022-04-11 00:09:55,Krzywoustego - Rynek Psie Pole,Gorlicka / Litewska,5
17,140500514,651205,2022-04-11 00:02:30,2022-04-11 00:11:17,Świeradowska (Ferio Gaj ),Tarnogajska / Klimasa,9
18,140500519,650362,2022-04-11 00:02:38,2022-04-11 00:11:33,Rondo Reagana,"Dworzec Główny, południe",9
19,140500543,57403,2022-04-11 00:04:42,2022-04-11 00:14:51,Łukasiewicza / Smoluchowskiego (PWr),Rakowiecka,11
20,140500541,650213,2022-04-11 00:04:31,2022-04-11 00:14:52,Łukasiewicza / Smoluchowskiego (PWr),Rakowiecka,11
21,140500534,651463,2022-04-11 00:03:34,2022-04-11 00:16:43,Plac Jana Pawła II (Akademia Muzyczna),Dyrekcyjna / Borowska (Wroclavia),14
22,140500673,57364,2022-04-11 00:14:48,2022-04-11 00:17:24,Zachodnia / Poznańska,Poza stacją,3
23,140500620,650266,2022-04-11 00:10:56,2022-04-11 00:19:23,Kamienna / Borowska (Aquapark),Borowska (Uniw. Szpital Kliniczny),9
24,140500619,57838,2022-04-11 00:10:47,2022-04-11 00:19:27,Plac Powstańców Śląskich,Grabiszyńska / Stalowa,9
25,140500702,650382,2022-04-11 00:18:16,2022-04-11 00:23:07,Powstańców Śląskich/Orla,Racławicka / Rymarska,5
26,140500572,650360,2022-04-11 00:06:31,2022-04-11 00:23:17,Poniatowskiego / Oleśnicka,Ślężna / Aleja Wiśniowa,17
27,140500598,651192,2022-04-11 00:08:55,2022-04-11 00:23:58,Kazimierza Wielkiego (Helios),Poza stacją,16
28,140500590,650659,2022-04-11 00:08:18,2022-04-11 00:25:14,Hallera / Odkrywców,Strzegomska / Rogowska ,17
29,140500636,651270,2022-04-11 00:12:29,2022-04-11 00:25:24,Kościuszki / Pułaskiego,Nowowiejska / Wyszyńskiego,13
30,140500638,57453,2022-04-11 00:12:37,2022-04-11 00:25:29,Kościuszki / Pułaskiego,Nowowiejska / Wyszyńskiego,13
31,140500639,650302,2022-04-11 00:12:48,2022-04-11 00:26:24,Legnicka / Wejherowska,Strzegomska / Rogowska ,14
