,UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
0,137504799,651230,2022-02-23 23:58:15,2022-02-24 00:02:32,Sienkiewicza / Wyszyńskiego,Żeromskiego / Kluczborska,5
1,137504717,57501,2022-02-23 23:53:15,2022-02-24 00:03:09,Kołłątaja / Podwale,Kościuszki / Komuny Paryskiej / Zgodna,10
2,137504778,651247,2022-02-23 23:57:06,2022-02-24 00:03:29,Dworzec Główny ,Kościuszki / Komuny Paryskiej / Zgodna,7
3,137504550,650636,2022-02-23 23:41:30,2022-02-24 00:04:23,Zaporoska / Gajowicka,Walońska (Angel Poland Group),23
4,137504735,650275,2022-02-23 23:54:30,2022-02-24 00:07:02,Poza stacją,pl. Orląt Lwowskich,13
5,137504688,57195,2022-02-23 23:51:26,2022-02-24 00:08:35,Plac Jana Pawła II (Akademia Muzyczna),Legnicka / Wejherowska,18
6,137504938,650500,2022-02-24 00:07:41,2022-02-24 00:09:31,Wałbrzyska - pętla tramwajowa,Przyjaźni,2
7,137504993,651242,2022-02-24 00:10:46,2022-02-24 00:11:36,Gliniana / Gajowa,Gliniana / Gajowa,1
8,137504953,57903,2022-02-24 00:08:33,2022-02-24 00:11:50,Nowowiejska / Jedności Narodowej,Promenady Wrocławskie,4
9,137504888,650546,2022-02-24 00:03:34,2022-02-24 00:12:10,Plac Dominikański (Galeria Dominikańska),Poza stacją,9
10,137504789,57909,2022-02-23 23:57:29,2022-02-24 00:12:30,Kurkowa / Dubois,Popowice,16
11,137504963,650298,2022-02-24 00:09:10,2022-02-24 00:14:02,Klecińska / Duńska,Strzegomska / Rogowska ,5
12,137505069,57429,2022-02-24 00:17:08,2022-02-24 00:20:25,Hubska / Prudnicka,Nyska / Jesionowa,4
13,137504810,650476,2022-02-23 23:59:08,2022-02-24 00:21:06,Dworzec Główny ,Tarnogajska / Klimasa,22
