,UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
0,137904133,650949,2022-03-03 23:59:24,2022-03-04 00:02:09,Szczęśliwa (Sky Tower),Poza stacją,3
1,137904194,57176,2022-03-04 00:03:15,2022-03-04 00:03:41,al. Armii Krajowej / Borowska,al. Armii Krajowej / Borowska,1
2,137904055,57816,2022-03-03 23:54:58,2022-03-04 00:03:45,Ślężna / Kamienna (Uniw. Ekonomiczny),Zaporoska / Gajowicka,9
3,137904060,651217,2022-03-03 23:55:14,2022-03-04 00:03:51,Gazowa / Międzyleska,Poza stacją,9
4,137903977,650760,2022-03-03 23:49:57,2022-03-04 00:03:53,Drobnera / Dubois,Gliniana / Gajowa,14
5,137904140,651559,2022-03-03 23:59:48,2022-03-04 00:04:04,Borowska (Uniw. Szpital Kliniczny),Piławska,5
6,137904202,651019,2022-03-04 00:03:29,2022-03-04 00:08:37,Aleja Kromera,al. Brücknera / Kwidzyńska,6
7,137904167,651054,2022-03-04 00:01:34,2022-03-04 00:12:12,Rynek,Pereca / Grabiszyńska,11
8,137904224,650994,2022-03-04 00:04:37,2022-03-04 00:13:45,Rondo Reagana,Wróblewskiego (Teki),10
9,137904215,650416,2022-03-04 00:03:57,2022-03-04 00:14:48,al. Armii Krajowej / Borowska,Dworzec Główny ,11
10,137904188,650182,2022-03-04 00:03:02,2022-03-04 00:15:07,al. Armii Krajowej / Borowska,Dworzec Główny ,13
11,137904135,57144,2022-03-03 23:59:35,2022-03-04 00:15:31,Powstańców Śląskich/Orla,Poza stacją,16
12,137904261,650374,2022-03-04 00:07:34,2022-03-04 00:16:48,"Dworzec Główny, południe",Poza stacją,10
13,137904388,57839,2022-03-04 00:16:04,2022-03-04 00:16:58,Nowowiejska / Jedności Narodowej,Nowowiejska / Jedności Narodowej,1
14,137904290,650551,2022-03-04 00:09:35,2022-03-04 00:17:50,Nyska / Jesionowa,Kościuszki / Pułaskiego,9
15,137904360,57538,2022-03-04 00:13:52,2022-03-04 00:18:08,Piaskowa / św. Ducha,Poniatowskiego / Oleśnicka,5
16,137904421,651198,2022-03-04 00:17:56,2022-03-04 00:18:38,Plac Powstańców Śląskich,Plac Powstańców Śląskich,1
17,137904236,57221,2022-03-04 00:05:32,2022-03-04 00:23:43,Poza stacją,Skarbowców / Wietrzna,19
18,137904487,651558,2022-03-04 00:21:39,2022-03-04 00:24:48,Kościuszki / Pułaskiego,Traugutta / Pułaskiego,4
19,137904493,651211,2022-03-04 00:21:45,2022-03-04 00:25:28,"Dworzec Główny, południe",Poza stacją,4
20,137904310,651164,2022-03-04 00:10:34,2022-03-04 00:25:30,Powstańców Śląskich/Orla,Grabiszyńska / Aleja Hallera,15
21,137904506,651299,2022-03-04 00:22:33,2022-03-04 00:25:50,Nowowiejska / Górnickiego,Żeromskiego / Kluczborska,4
22,137904363,57627,2022-03-04 00:14:05,2022-03-04 00:29:23,Szewska / Kazimierza Wielkiego ,Radeckiego / Marcinkowskiego (Uniw. Medyczny - CNIM),16
23,137904467,650083,2022-03-04 00:20:46,2022-03-04 00:30:21,Opolska / pętla tramwajowa,al. Armii Krajowej / Tarnogajska,10
24,137904559,650340,2022-03-04 00:27:09,2022-03-04 00:30:39,Nowowiejska / Jedności Narodowej,Promenady Wrocławskie,4
25,137904425,650760,2022-03-04 00:18:07,2022-03-04 00:31:24,Gliniana / Gajowa,Rynek,14
26,137904419,57663,2022-03-04 00:17:42,2022-03-04 00:33:40,Nowowiejska / Jedności Narodowej,Wróblewskiego (Teki),16
27,137904454,57642,2022-03-04 00:20:05,2022-03-04 00:33:46,Poza stacją,Plac Dominikański (Galeria Dominikańska),14
28,137904455,651198,2022-03-04 00:20:06,2022-03-04 00:33:52,Plac Powstańców Śląskich,Plac Dominikański (Galeria Dominikańska),14
29,137904573,57230,2022-03-04 00:27:49,2022-03-04 00:34:06,Powstańców Śląskich (Arkady Wrocławskie),Zaporoska / Wielka / Krucza,7
30,137904570,57987,2022-03-04 00:27:41,2022-03-04 00:34:20,Powstańców Śląskich (Arkady Wrocławskie),Zaporoska / Wielka / Krucza,7
31,137904361,650319,2022-03-04 00:14:01,2022-03-04 00:35:20,Piaskowa / św. Ducha,Żelazna / Pereca,22
32,137904522,651376,2022-03-04 00:24:44,2022-03-04 00:35:52,Kazimierza Wielkiego (Helios),Dyrekcyjna / Borowska (Wroclavia),12
33,137904592,57514,2022-03-04 00:28:48,2022-03-04 00:35:52,Żmigrodzka / Broniewskiego,Kamieńskiego / Jutrosińska,8
34,137904686,57126,2022-03-04 00:36:47,2022-03-04 00:41:59,"Paprotna / Obornicka, zajezdnia MPK",Bezpieczna / Obornicka,6
35,137904651,57688,2022-03-04 00:33:25,2022-03-04 00:42:08,Plac Jana Pawła II (Akademia Muzyczna),Zachodnia / Poznańska,9
36,137904538,57494,2022-03-04 00:25:59,2022-03-04 00:42:34,Powstańców Śląskich/Orla,Tarnogajska / Klimasa,17
37,137904645,57134,2022-03-04 00:32:58,2022-03-04 00:43:41,Plac Dominikański (Galeria Dominikańska),Kościuszki / Pułaskiego,11
38,137904657,650182,2022-03-04 00:34:10,2022-03-04 00:43:45,Dworzec Główny ,Drobnera / Dubois,10
39,137904656,650216,2022-03-04 00:34:04,2022-03-04 00:43:52,Plac Dominikański (Galeria Dominikańska),Kościuszki / Pułaskiego,10
