,UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
0,139856472,650337,2022-03-30 23:47:38,2022-03-31 00:04:11,Aleja Bielany,Czekoladowa / Wałbrzyska,17
1,139856508,57348,2022-03-30 23:49:53,2022-03-31 00:04:41,Plac Dominikański (Galeria Dominikańska),Obornicka / Bałtycka,15
2,139856709,650543,2022-03-31 00:00:56,2022-03-31 00:10:21,Powstańcow Śląskich / Aleja Hallera,Poza stacją,10
3,139856746,57322,2022-03-31 00:03:29,2022-03-31 00:22:38,Plac Uniwersytecki (UWr),Hubska / Prudnicka,20
4,139856742,57548,2022-03-31 00:03:05,2022-03-31 00:22:48,Plac Uniwersytecki (UWr),Hubska / Prudnicka,20
5,139857121,650074,2022-03-31 00:27:53,2022-03-31 00:32:34,Kozanowska / Pilczycka,Pilczycka / Kozanowska,5
6,139857132,57333,2022-03-31 00:28:30,2022-03-31 00:35:45,Powstańców Śląskich (Arkady Wrocławskie),Poza stacją,8
7,139857043,650053,2022-03-31 00:22:36,2022-03-31 00:36:19,Szczęśliwa (Sky Tower),Skarbowców / Wietrzna,14
8,139856933,651100,2022-03-31 00:15:49,2022-03-31 00:36:27,Powstańców Śląskich/Orla,al. Armii Krajowej / Bardzka,21
9,139856924,651538,2022-03-31 00:15:36,2022-03-31 00:36:34,Powstańców Śląskich/Orla,al. Armii Krajowej / Bardzka,21
10,139857281,57760,2022-03-31 00:39:41,2022-03-31 00:41:43,Aleja Bielany,Aleja Bielany,3
11,139857332,57100,2022-03-31 00:43:06,2022-03-31 00:44:21,Piaskowa / św. Ducha,Piaskowa / św. Ducha,2
12,139857260,651562,2022-03-31 00:37:58,2022-03-31 00:45:45,"Kosmonautów / Fieldorfa, szpital wojewódzki",Wojanowska / Arbuzowa ,8
13,139856979,650657,2022-03-31 00:18:55,2022-03-31 00:46:23,Czekoladowa / Wałbrzyska,Czekoladowa / Wałbrzyska,28
14,139856961,651095,2022-03-31 00:17:40,2022-03-31 00:46:24,Czekoladowa / Wałbrzyska,Czekoladowa / Wałbrzyska,29
15,139856954,650337,2022-03-31 00:17:25,2022-03-31 00:47:10,Czekoladowa / Wałbrzyska,Czekoladowa / Wałbrzyska,30
16,139856982,651458,2022-03-31 00:19:02,2022-03-31 00:47:17,Czekoladowa / Wałbrzyska,Czekoladowa / Wałbrzyska,29
17,139857129,650140,2022-03-31 00:28:16,2022-03-31 00:48:40,Plac Dominikański (Galeria Dominikańska),Poza stacją,21
18,139857321,57705,2022-03-31 00:42:23,2022-03-31 01:04:16,Aleja Bielany,Skarbowców / Wietrzna,22
19,139857435,650130,2022-03-31 00:52:50,2022-03-31 01:07:52,Wróblewskiego (Teki),Marca Polo (Olimpia Port),16
20,139857619,651076,2022-03-31 01:09:31,2022-03-31 01:10:00,Dyrekcyjna / Borowska (Wroclavia),Dyrekcyjna / Borowska (Wroclavia),1
21,139857584,651304,2022-03-31 01:05:05,2022-03-31 01:15:11,Pereca / Grabiszyńska,Dworzec Główny ,11
22,139857573,650529,2022-03-31 01:03:56,2022-03-31 01:16:23,Wita Stwosza / Szewska,al. Kochanowskiego / Kopernika,13
23,139857617,650978,2022-03-31 01:09:14,2022-03-31 01:21:26,Kurkowa / Dubois,Śrubowa / Strzegomska,13
24,139857234,57741,2022-03-31 00:35:37,2022-03-31 01:22:43,Powstańcow Śląskich / Aleja Hallera,Powstańcow Śląskich / Aleja Hallera,48
25,139857634,650842,2022-03-31 01:10:33,2022-03-31 01:23:07,Grota-Roweckiego / Parafialna,Grota-Roweckiego / Parafialna,13
26,139857729,650344,2022-03-31 01:19:31,2022-03-31 01:27:50,pl. Powstańców Wielkopolskich,Plac Uniwersytecki (UWr),9
27,139857766,57782,2022-03-31 01:22:22,2022-03-31 01:28:22,al. Armii Krajowej / Bardzka,Świeradowska (Ferio Gaj ),6
28,139857788,650978,2022-03-31 01:24:07,2022-03-31 01:30:22,Śrubowa / Strzegomska,Otyńska,7
29,139857693,650034,2022-03-31 01:16:16,2022-03-31 01:34:13,Pilczycka / Kozanowska,Otyńska,18
30,139857797,57827,2022-03-31 01:25:09,2022-03-31 01:35:13,Poza stacją,Wilanowska,11
31,139857782,57514,2022-03-31 01:23:45,2022-03-31 01:39:56,Dyrekcyjna / Borowska (Wroclavia),Krzycka / Aleja Karkonoska (Park Południowy),17
32,139857848,651099,2022-03-31 01:31:31,2022-03-31 01:40:50,Wyszyńskiego / Szczytnicka,Szewska / Kazimierza Wielkiego ,10
33,139857922,651099,2022-03-31 01:41:38,2022-03-31 01:49:00,Szewska / Kazimierza Wielkiego ,Plac Jana Pawła II (Akademia Muzyczna),8
34,139857907,57066,2022-03-31 01:39:35,2022-03-31 01:56:44,Wita Stwosza / Szewska,Krakowska / Leroy Merlin,18
35,139858389,57255,2022-03-31 02:48:42,2022-03-31 03:02:45,Żmigrodzka / Marino,Poza stacją,15
