,UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
0,140679396,650885,2022-04-12 23:42:23,2022-04-13 00:00:31,Nowowiejska / Górnickiego,Karwińska / Opolska,19
1,140679804,650042,2022-04-12 23:54:50,2022-04-13 00:01:40,"Grochowa / Jemiołowa,",Komandorska / Sanocka,7
2,140642866,650437,2022-04-12 17:15:58,2022-04-13 00:02:58,Boguszowska / Kosmonautów,Boguszowska / Kosmonautów,407
3,140678906,57293,2022-04-12 23:27:32,2022-04-13 00:03:04,Tyrmanda / Mińska,Pilczycka / Kozanowska,36
4,140679666,650912,2022-04-12 23:50:29,2022-04-13 00:03:19,Poniatowskiego / Oleśnicka,Traugutta / Kościuszki,13
5,140680021,651069,2022-04-13 00:03:01,2022-04-13 00:03:29,Dworzec Główny ,Dworzec Główny ,1
6,140679850,57645,2022-04-12 23:56:35,2022-04-13 00:04:12,Szewska / Kazimierza Wielkiego ,Plac Strzegomski / Poznańska,8
7,140679756,650166,2022-04-12 23:53:19,2022-04-13 00:05:31,Kamienna / Tomaszowska,Szczęśliwa (Sky Tower),13
8,140680049,650964,2022-04-13 00:04:06,2022-04-13 00:06:14,Zachodnia / Poznańska,Legnicka / Zachodnia ,3
9,140679582,650082,2022-04-12 23:47:14,2022-04-13 00:06:46,Rondo Reagana,Plac Jana Pawła II (Akademia Muzyczna),20
10,140679855,650694,2022-04-12 23:56:41,2022-04-13 00:06:47,Dworzec Główny ,Hubska / Prudnicka,11
11,140680127,651069,2022-04-13 00:06:30,2022-04-13 00:07:16,Dworzec Główny ,Dworzec Główny ,1
12,140680011,651023,2022-04-13 00:02:39,2022-04-13 00:08:01,Wita Stwosza / Szewska,Wita Stwosza / Szewska,6
13,140679866,651531,2022-04-12 23:57:08,2022-04-13 00:08:03,Grota-Roweckiego/Iwaszkiewicza,Świeradowska (Ferio Gaj ),11
14,140679875,57541,2022-04-12 23:57:30,2022-04-13 00:09:08,Rynek,Legnicka / Zachodnia ,12
15,140679727,650987,2022-04-12 23:52:29,2022-04-13 00:09:15,Wyszyńskiego / Szczytnicka,Poniatowskiego / Oleśnicka,17
16,140680040,650397,2022-04-13 00:03:45,2022-04-13 00:09:41,Dworzec Główny ,Hubska / Prudnicka,6
17,140679799,57707,2022-04-12 23:54:38,2022-04-13 00:10:03,Olszewskiego / Spółdzielcza,Stadion Olimpijski,16
18,140680027,57535,2022-04-13 00:03:11,2022-04-13 00:10:07,Dworzec Główny ,Hubska / Prudnicka,7
19,140680023,650106,2022-04-13 00:03:03,2022-04-13 00:10:09,Dworzec Główny ,Hubska / Prudnicka,8
20,140679694,651235,2022-04-12 23:51:33,2022-04-13 00:10:42,Poza stacją,Zaporoska / Gajowicka,20
21,140679887,651194,2022-04-12 23:57:46,2022-04-13 00:12:16,Wita Stwosza / Szewska,Nowowiejska / Górnickiego,15
22,140680203,650437,2022-04-13 00:10:17,2022-04-13 00:12:52,Boguszowska / Kosmonautów,Boguszowska / Kosmonautów,3
23,140679786,650605,2022-04-12 23:54:11,2022-04-13 00:13:16,Rynek,Zaporoska / Wielka / Krucza,20
24,140679778,57829,2022-04-12 23:53:58,2022-04-13 00:13:25,Rynek,Zaporoska / Wielka / Krucza,20
25,140680273,57590,2022-04-13 00:13:12,2022-04-13 00:14:38,Boguszowska / Kosmonautów,Boguszowska / Kosmonautów,2
26,140680288,57361,2022-04-13 00:13:55,2022-04-13 00:14:39,Jedności Narodowej / Wyszyńskiego,Jedności Narodowej / Wyszyńskiego,1
27,140679967,650345,2022-04-13 00:00:54,2022-04-13 00:14:53,Karwińska / Opolska,Mościckiego / Chińska ,14
28,140680187,57653,2022-04-13 00:09:26,2022-04-13 00:15:04,Poza stacją,Opolska / pętla tramwajowa,6
29,140680220,57909,2022-04-13 00:11:02,2022-04-13 00:15:17,Piaskowa / św. Ducha,Poniatowskiego / Oleśnicka,5
30,140680013,650429,2022-04-13 00:02:44,2022-04-13 00:15:48,Plac Strzegomski / Poznańska,Lotnicza / Bajana,14
31,140680323,651507,2022-04-13 00:15:32,2022-04-13 00:16:15,Komandorska / Kamienna,Komandorska / Kamienna,1
32,140680190,57969,2022-04-13 00:09:36,2022-04-13 00:17:52,pl. Orląt Lwowskich,Grabiszyńska / Stalowa,9
33,140680033,57311,2022-04-13 00:03:27,2022-04-13 00:19:17,Wita Stwosza / Szewska,Rondo Reagana,16
34,140680084,57936,2022-04-13 00:04:59,2022-04-13 00:19:25,Żeromskiego / Daszyńskiego,Walońska (Angel Poland Group),15
35,140680244,651348,2022-04-13 00:12:15,2022-04-13 00:19:27,Zaporoska / Grabiszyńska,Grabiszyńska / Magazynierska (Corte Verona),8
36,140680327,650642,2022-04-13 00:15:36,2022-04-13 00:20:01,Powstańcow Śląskich / Aleja Hallera,Zaporoska / Wielka / Krucza,5
37,140680360,650433,2022-04-13 00:17:13,2022-04-13 00:20:26,Drobnera / Plac Bema,Poniatowskiego / Oleśnicka,4
