,UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
0,145632590,651194,2022-05-26 23:53:29,2022-05-27 00:00:16,Powstańcow Śląskich / Aleja Hallera,"Grochowa / Jemiołowa,",7
1,145632444,650576,2022-05-26 23:50:55,2022-05-27 00:00:19,Legnicka (Park Magnolia),Pilczycka / Kozanowska,10
2,145630146,57380,2022-05-26 23:12:03,2022-05-27 00:00:31,Kraszewskiego / Trzebnicka,Kraszewskiego / Trzebnicka,49
3,145632530,57644,2022-05-26 23:52:22,2022-05-27 00:00:32,Powstańcow Śląskich / Aleja Hallera,Krucza / Mielecka / Stalowa,9
4,145630155,650213,2022-05-26 23:12:10,2022-05-27 00:00:34,Kraszewskiego / Trzebnicka,Kraszewskiego / Trzebnicka,49
5,145632488,57826,2022-05-26 23:51:33,2022-05-27 00:00:52,Wróblewskiego (ZOO),Olszewskiego / Spółdzielcza,10
6,145632499,651675,2022-05-26 23:51:47,2022-05-27 00:01:05,Powstańców Śląskich (Arkady Wrocławskie),al. Armii Krajowej / Borowska,10
7,145632632,57835,2022-05-26 23:54:19,2022-05-27 00:01:22,Krzywoustego / Korona,Sołtysowicka / Redycka,8
8,145632647,651295,2022-05-26 23:54:32,2022-05-27 00:01:51,Świeradowska (Ferio Gaj ),Bardzka (cmentarz),8
9,145632965,57735,2022-05-27 00:00:53,2022-05-27 00:01:58,Fosa Miejska ,Fosa Miejska ,2
10,145632591,650152,2022-05-26 23:53:30,2022-05-27 00:02:51,Dworzec Główny ,Plac Uniwersytecki (UWr),10
11,145632787,650991,2022-05-26 23:57:21,2022-05-27 00:02:57,Ślężna / Aleja Wiśniowa,Powstańcow Śląskich / Aleja Hallera,6
12,145632180,651337,2022-05-26 23:45:33,2022-05-27 00:03:19,Grabiszyńska / Magazynierska (Corte Verona),Wita Stwosza / Szewska,18
13,145632119,651069,2022-05-26 23:44:26,2022-05-27 00:04:04,Plac Jana Pawła II (Akademia Muzyczna),Grabiszyńska / Stalowa,20
14,145632757,650952,2022-05-26 23:56:48,2022-05-27 00:04:04,Pereca / Grabiszyńska,Kazimierza Wielkiego (Helios),8
15,145632912,651198,2022-05-26 23:59:55,2022-05-27 00:04:14,Komandorska / Kamienna,"Dworzec Główny, południe",5
16,145632749,57009,2022-05-26 23:56:37,2022-05-27 00:04:17,Pereca / Grabiszyńska,Kazimierza Wielkiego (Helios),8
17,145632705,57694,2022-05-26 23:55:38,2022-05-27 00:04:26,Drobnera / Dubois,Nowowiejska / Górnickiego,9
18,145631896,651352,2022-05-26 23:41:25,2022-05-27 00:04:57,Plac Grunwaldzki (DS Ołówek),Rynek,24
19,145632679,57927,2022-05-26 23:55:10,2022-05-27 00:05:22,Drzewieckiego / Dedala,Strzegomska / Estońska,11
20,145632924,650699,2022-05-27 00:00:06,2022-05-27 00:05:26,Rakowiecka,Traugutta / Kościuszki,6
21,145632281,57419,2022-05-26 23:47:37,2022-05-27 00:05:43,Kościuszki / Pułaskiego,Żelazna / Pereca,19
22,145630767,57044,2022-05-26 23:21:41,2022-05-27 00:05:45,Powstańcow Śląskich / Aleja Hallera,Grabiszyńska / Aleja Hallera,45
23,145632215,651275,2022-05-26 23:46:11,2022-05-27 00:06:03,Kraszewskiego / Trzebnicka,Plac Jana Pawła II (Akademia Muzyczna),20
24,145632976,651546,2022-05-27 00:01:07,2022-05-27 00:06:16,al. Armii Krajowej / Borowska,al. Armii Krajowej / Bardzka,6
25,145632042,650615,2022-05-26 23:43:16,2022-05-27 00:06:31,Kraszewskiego / Trzebnicka,Plac Jana Pawła II (Akademia Muzyczna),24
26,145632900,650050,2022-05-26 23:59:38,2022-05-27 00:06:32,Poza stacją,Partyzantów / Okrzei,7
27,145631680,651606,2022-05-26 23:37:11,2022-05-27 00:07:04,Szewska / Kazimierza Wielkiego ,Traugutta / Pułaskiego,30
28,145630447,57793,2022-05-26 23:16:45,2022-05-27 00:07:41,Borowska (Uniw. Szpital Kliniczny),Borowska (Uniw. Szpital Kliniczny),51
29,145632440,651703,2022-05-26 23:50:50,2022-05-27 00:07:45,Rondo Reagana,Plac Grunwaldzki / Polaka,17
30,145633086,57410,2022-05-27 00:03:27,2022-05-27 00:07:59,Kozanowska/Pałucka,Poza stacją,5
31,145632815,650206,2022-05-26 23:57:54,2022-05-27 00:08:06,Piłsudskiego 13 od Jump Hall,Młodych Techników,11
32,145632799,57912,2022-05-26 23:57:35,2022-05-27 00:08:12,Wita Stwosza / Szewska,Jedności Narodowej / Wyszyńskiego,11
33,145632449,651642,2022-05-26 23:50:58,2022-05-27 00:08:24,Dyrekcyjna / Borowska (Wroclavia),Piławska,18
34,145632308,57209,2022-05-26 23:48:16,2022-05-27 00:08:37,al. Armii Krajowej / Bardzka,"Dworzec Główny, południe",21
35,145632997,650981,2022-05-27 00:01:31,2022-05-27 00:09:04,Piaskowa / św. Ducha,Traugutta / Pułaskiego,8
