,UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
0,141129407,650375,2022-04-18 23:50:50,2022-04-19 00:01:29,Drobnera / Plac Bema,Poza stacją,11
1,141129584,651126,2022-04-19 00:00:45,2022-04-19 00:01:31,Legnicka (Park Magnolia),Legnicka (Park Magnolia),1
2,141129401,651021,2022-04-18 23:50:20,2022-04-19 00:01:42,Drobnera / Plac Bema,Poza stacją,12
3,141129346,57040,2022-04-18 23:47:16,2022-04-19 00:04:01,Skarbowców / Wietrzna,Poza stacją,17
4,141126099,650427,2022-04-18 21:50:36,2022-04-19 00:07:04,Poza stacją,Poza stacją,137
5,141129297,57950,2022-04-18 23:44:51,2022-04-19 00:07:17,Dworzec Główny ,Promenady Wrocławskie,23
6,141129548,651034,2022-04-18 23:58:50,2022-04-19 00:07:17,Plac Grunwaldzki (DS Ołówek),Wróblewskiego (Teki),9
7,141129535,650019,2022-04-18 23:58:14,2022-04-19 00:07:23,Plac Grunwaldzki (DS Ołówek),Wróblewskiego (Teki),10
8,141129449,57936,2022-04-18 23:53:55,2022-04-19 00:07:53,Plac Dominikański (Galeria Dominikańska),Żeromskiego / Daszyńskiego,14
9,141097028,650280,2022-04-18 15:53:38,2022-04-19 00:08:09,Aleja Hallera / Mielecka,Szczęśliwa (Sky Tower),495
10,141129670,57932,2022-04-19 00:05:32,2022-04-19 00:08:11,Kazimierza Wielkiego (Helios),Kazimierza Wielkiego (Helios),3
11,141129495,57326,2022-04-18 23:56:39,2022-04-19 00:08:18,Śrubowa / Strzegomska,Fosa Miejska ,12
12,141129514,57401,2022-04-18 23:57:31,2022-04-19 00:08:22,Krucza / Mielecka / Stalowa,Szczęśliwa (Sky Tower),11
13,141129519,651257,2022-04-18 23:57:43,2022-04-19 00:08:30,al. Armii Krajowej / Bardzka,Jagodzińska / Buforowa,11
14,141129608,57059,2022-04-19 00:01:49,2022-04-19 00:09:27,Drobnera / Plac Bema,Dworzec Główny ,8
15,141129601,57155,2022-04-19 00:01:31,2022-04-19 00:09:45,Świeradowska (Ferio Gaj ),Tarnogajska / Klimasa,9
16,141129492,651288,2022-04-18 23:56:25,2022-04-19 00:10:48,Poza stacją,Drobnera / Dubois,15
17,141129611,57700,2022-04-19 00:01:53,2022-04-19 00:11:54,Legnicka (Park Magnolia),Pilczycka / Kozanowska,11
18,141129542,650306,2022-04-18 23:58:23,2022-04-19 00:11:56,Poza stacją,Poza stacją,14
19,141129556,57074,2022-04-18 23:59:26,2022-04-19 00:12:32,Drobnera / Plac Bema,Promenady Wrocławskie,14
20,141129595,651147,2022-04-19 00:01:08,2022-04-19 00:12:43,Hallera / Odkrywców,Powstańców Śląskich/Orla,12
21,141129682,57026,2022-04-19 00:06:06,2022-04-19 00:12:53,Kazimierza Wielkiego (Helios),Zaporoska / Grabiszyńska,7
22,141129588,57971,2022-04-19 00:00:53,2022-04-19 00:12:54,Hallera / Odkrywców,Powstańców Śląskich/Orla,13
23,141129603,57505,2022-04-19 00:01:37,2022-04-19 00:18:11,Świeradowska (Ferio Gaj ),Poza stacją,17
24,141129709,57232,2022-04-19 00:08:55,2022-04-19 00:19:18,Bardzka (cmentarz),Semaforowa,11
25,141120583,651024,2022-04-18 20:03:34,2022-04-19 00:20:34,Graniczna / Strzegomska,Graniczna / Strzegomska,257
26,141129684,57646,2022-04-19 00:06:13,2022-04-19 00:23:24,Dyrekcyjna / Borowska (Wroclavia),Tarnogajska / Klimasa,18
27,141129692,57887,2022-04-19 00:06:58,2022-04-19 00:23:33,Plac Grunwaldzki (DS Ołówek),Rynek,17
28,141129546,650955,2022-04-18 23:58:37,2022-04-19 00:24:10,Kazimierza Wielkiego (Helios),Poza stacją,26
29,141129322,57675,2022-04-18 23:45:58,2022-04-19 00:24:28,Powstańcow Śląskich / Aleja Hallera,Piłsudskiego 13 od Jump Hall,39
30,141129754,651261,2022-04-19 00:12:53,2022-04-19 00:24:30,Gazowa / Międzyleska,Jagodzińska / Buforowa,12
31,141129327,650118,2022-04-18 23:46:14,2022-04-19 00:24:47,Powstańcow Śląskich / Aleja Hallera,Piłsudskiego 13 od Jump Hall,39
32,141129873,650287,2022-04-19 00:22:01,2022-04-19 00:27:58,"Paprotna / Obornicka, zajezdnia MPK",Żmigrodzka / Marino,6
33,141129796,650785,2022-04-19 00:16:39,2022-04-19 00:28:49,Plac Jana Pawła II (Akademia Muzyczna),Legnicka (Park Magnolia),13
34,141129863,57019,2022-04-19 00:21:33,2022-04-19 00:28:49,Świdnicka / Piłsudskiego (Hotel Scandic),Plac Powstańców Śląskich,8
35,141120460,650171,2022-04-18 20:01:58,2022-04-19 00:30:02,pl. Orląt Lwowskich,al. Armii Krajowej / Bardzka,269
36,141129444,57812,2022-04-18 23:53:24,2022-04-19 00:30:05,Hubska / Prudnicka,Hubska / Prudnicka,37
37,141129761,650146,2022-04-19 00:13:20,2022-04-19 00:30:15,Powstańców Śląskich/Orla,Zwycięska / Agrestowa,17
38,141129763,57431,2022-04-19 00:13:29,2022-04-19 00:30:18,Powstańców Śląskich/Orla,Zwycięska / Agrestowa,17
39,141129890,650028,2022-04-19 00:22:58,2022-04-19 00:33:53,Rynek,Szewska / Kazimierza Wielkiego ,11
40,141129889,650594,2022-04-19 00:22:52,2022-04-19 00:33:58,Rynek,Szewska / Kazimierza Wielkiego ,12
