,UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
0,135895107,650685,2022-01-15 23:53:15,2022-01-16 00:04:44,.RELOKACYJNA 2022,Wyszyńskiego / Szczytnicka,12
1,135894978,57965,2022-01-15 23:43:12,2022-01-16 00:05:03,Drobnera / Plac Bema,Drobnera / Plac Bema,22
2,135895070,57677,2022-01-15 23:50:37,2022-01-16 00:06:24,Walońska (Angel Poland Group),Wróblewskiego (Teki),16
3,135895237,57996,2022-01-16 00:02:29,2022-01-16 00:11:19,Plac Grunwaldzki / Polaka,Kościuszki / Pułaskiego,9
4,135895369,650404,2022-01-16 00:10:30,2022-01-16 00:13:58,Krzycka / Aleja Karkonoska (Park Południowy),Przyjaźni / Karkonoska,4
5,135895275,651338,2022-01-16 00:05:09,2022-01-16 00:15:18,Rondo Reagana,Stadion Olimpijski,11
6,135895319,650652,2022-01-16 00:07:31,2022-01-16 00:17:55,Kazimierza Wielkiego (Helios),Legnicka / Zachodnia ,11
7,135895312,651161,2022-01-16 00:07:17,2022-01-16 00:17:57,Kazimierza Wielkiego (Helios),Legnicka / Zachodnia ,11
8,135895310,651242,2022-01-16 00:07:15,2022-01-16 00:18:01,Kazimierza Wielkiego (Helios),Legnicka / Zachodnia ,11
9,135895076,650725,2022-01-15 23:51:08,2022-01-16 00:19:16,Rynek,Tarnogajska / Klimasa,29
10,135895296,57043,2022-01-16 00:06:12,2022-01-16 00:20:37,Gazowa / Międzyleska,Buforowa - Vivaldiego,15
11,135895516,650700,2022-01-16 00:18:38,2022-01-16 00:22:34,Legnicka / Zachodnia ,Legnicka (Park Magnolia),4
12,135895231,651391,2022-01-16 00:02:01,2022-01-16 00:23:50,Aleja Hallera / Mielecka,Wyszyńskiego / Szczytnicka,22
13,135895504,57647,2022-01-16 00:18:01,2022-01-16 00:23:59,Zaporoska / Grabiszyńska,"Grochowa / Jemiołowa,",6
14,135895421,650472,2022-01-16 00:13:24,2022-01-16 00:24:44,Kościuszki / Komuny Paryskiej / Zgodna,Gliniana / Gajowa,12
15,135895326,650815,2022-01-16 00:07:46,2022-01-16 00:27:10,.RELOKACYJNA 2022,Legnicka (Park Magnolia),20
16,135895390,57334,2022-01-16 00:12:00,2022-01-16 00:27:59,al. Armii Krajowej / Borowska,Racławicka / Rymarska,16
17,135895530,650914,2022-01-16 00:19:41,2022-01-16 00:28:01,Dworzec Główny ,Krakowska / Leroy Merlin,9
18,135895612,650690,2022-01-16 00:25:14,2022-01-16 00:28:53,Poza stacją,Kurkowa / Dubois,4
19,135895407,651492,2022-01-16 00:12:32,2022-01-16 00:29:03,Legnicka / Młodych Techników,"Dworzec Główny, południe",17
20,135895412,650044,2022-01-16 00:12:52,2022-01-16 00:29:38,Legnicka / Młodych Techników,Dworzec Główny ,17
21,135895394,650476,2022-01-16 00:12:12,2022-01-16 00:29:59,Dworzec Główny ,Grabiszyńska / Aleja Hallera,18
22,135895539,650818,2022-01-16 00:20:36,2022-01-16 00:35:06,Łukasiewicza / Smoluchowskiego (PWr),Kościuszki / Komuny Paryskiej / Zgodna,15
23,135895725,57965,2022-01-16 00:32:03,2022-01-16 00:35:11,Drobnera / Plac Bema,Poza stacją,4
24,135895662,57973,2022-01-16 00:28:15,2022-01-16 00:36:35,Racławicka / Rymarska,Solskiego / al. Piastów,9
25,135895677,650082,2022-01-16 00:29:05,2022-01-16 00:38:40,al. Armii Krajowej / Borowska,Powstańcow Śląskich / Aleja Hallera,10
26,135895531,650303,2022-01-16 00:19:42,2022-01-16 00:38:43,pl. Powstańców Wielkopolskich,Kamieńskiego,20
27,135895673,650914,2022-01-16 00:28:50,2022-01-16 00:39:12,Krakowska / Leroy Merlin,Opolska / Siemianowicka,11
28,135895699,650896,2022-01-16 00:30:31,2022-01-16 00:39:39,Grota-Roweckiego / Parafialna,Ślężna / Aleja Wiśniowa,10
29,135895615,57740,2022-01-16 00:25:19,2022-01-16 00:43:24,Bacciarellego / pętla autobusowa,Sienkiewicza / Piastowska,19
30,135895688,651466,2022-01-16 00:29:45,2022-01-16 00:45:25,Plac Świętego Macieja / Trzebnicka,Koszarowa / UWr,16
31,135895540,57603,2022-01-16 00:20:47,2022-01-16 00:46:24,Poza stacją,Powstańcow Śląskich / Aleja Hallera,26
32,135895741,650597,2022-01-16 00:33:00,2022-01-16 00:50:39,Powstańcow Śląskich / Aleja Hallera,Wałbrzyska - pętla tramwajowa,18
33,135895737,650493,2022-01-16 00:32:45,2022-01-16 00:50:48,Powstańcow Śląskich / Aleja Hallera,Wałbrzyska - pętla tramwajowa,19
34,135895958,650087,2022-01-16 00:48:46,2022-01-16 00:53:12,Plac Grunwaldzki / Polaka,Walońska (Angel Poland Group),5
35,135895847,57416,2022-01-16 00:40:58,2022-01-16 00:53:57,Kazimierza Wielkiego (Helios),Promenady Wrocławskie,13
36,135895858,650312,2022-01-16 00:41:31,2022-01-16 00:54:03,Kazimierza Wielkiego (Helios),Promenady Wrocławskie,13
37,135895962,651489,2022-01-16 00:49:07,2022-01-16 00:55:38,Plac Jana Pawła II (Akademia Muzyczna),Młodych Techników,7
38,135895744,650504,2022-01-16 00:33:09,2022-01-16 00:58:18,Nowowiejska / Wyszyńskiego,Legnicka / Wejherowska,26
39,135895976,650690,2022-01-16 00:50:28,2022-01-16 01:02:07,Kurkowa / Dubois,Poza stacją,12
40,135895983,57824,2022-01-16 00:50:53,2022-01-16 01:02:31,al. Armii Krajowej / Borowska,Zaporoska / Wielka / Krucza,12
41,135895834,650090,2022-01-16 00:39:43,2022-01-16 01:16:28,Semaforowa,Grabiszyńska / Stalowa,37
