,UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
0,136322159,57852,2022-01-26 23:41:13,2022-01-27 00:07:21,Drobnera / Dubois,Pilczycka / Kozanowska,27
1,136322315,650140,2022-01-26 23:56:15,2022-01-27 00:11:57,Solskiego / al. Piastów,Grabiszyńska / Magazynierska (Corte Verona),16
2,136322423,650969,2022-01-27 00:07:17,2022-01-27 00:13:38,Plac Dominikański (Galeria Dominikańska),Kościuszki / Komuny Paryskiej / Zgodna,7
3,136322387,57978,2022-01-27 00:03:13,2022-01-27 00:14:26,Hallera / Odkrywców,Solskiego / al. Piastów,12
4,136322461,57460,2022-01-27 00:10:06,2022-01-27 00:15:00,Poza stacją,Poza stacją,5
5,136322494,650914,2022-01-27 00:12:58,2022-01-27 00:23:38,Grabiszyńska / Magazynierska (Corte Verona),Żelazna / Pereca,11
6,136322560,57775,2022-01-27 00:20:02,2022-01-27 00:26:37,Poleska / Litewska,Krzywoustego - Rynek Psie Pole,7
7,136322589,651356,2022-01-27 00:22:55,2022-01-27 00:31:05,Sienkiewicza / Wyszyńskiego,al. Kochanowskiego / Kopernika,9
8,136322559,57377,2022-01-27 00:19:48,2022-01-27 00:31:26,Traktatowa (przystanek kolejowy),Na Ostatnim Groszu,12
9,136322629,57991,2022-01-27 00:28:23,2022-01-27 00:37:07,Komandorska / Kamienna,Ślężna / Aleja Wiśniowa,9
10,136322561,57025,2022-01-27 00:20:03,2022-01-27 00:37:57,Pereca / Grabiszyńska,Solskiego / al. Piastów,18
11,136322439,651060,2022-01-27 00:08:56,2022-01-27 00:39:48,Wyszyńskiego / Szczytnicka,Walońska (Angel Poland Group),31
12,136322626,57217,2022-01-27 00:27:58,2022-01-27 00:40:02,Plac Świętego Macieja / Trzebnicka,Nowowiejska / Górnickiego,13
13,136322628,57579,2022-01-27 00:28:13,2022-01-27 00:40:13,Plac Świętego Macieja / Trzebnicka,Nowowiejska / Górnickiego,12
14,136322656,650134,2022-01-27 00:31:45,2022-01-27 00:41:19,Na Ostatnim Groszu,Pilczycka / Kozanowska,10
15,136322718,650865,2022-01-27 00:41:03,2022-01-27 00:43:44,Powstańców Śląskich (Arkady Wrocławskie),Powstańców Śląskich (Arkady Wrocławskie),3
16,136322744,651358,2022-01-27 00:44:11,2022-01-27 00:45:09,Powstańców Śląskich (Arkady Wrocławskie),Powstańców Śląskich (Arkady Wrocławskie),1
17,136322717,57991,2022-01-27 00:41:01,2022-01-27 00:47:10,Ślężna / Aleja Wiśniowa,Ślężna / Skierniewicka,7
18,136322702,650586,2022-01-27 00:37:16,2022-01-27 00:47:14,Ślężna / Aleja Wiśniowa,Tarnogajska / Klimasa,10
19,136322601,651254,2022-01-27 00:24:23,2022-01-27 00:47:31,Dworzec Główny ,Legnicka (Park Magnolia),24
20,136322750,651464,2022-01-27 00:44:56,2022-01-27 00:48:27,Sienkiewicza / Wyszyńskiego,Sienkiewicza / Piastowska,4
21,136322772,651485,2022-01-27 00:47:20,2022-01-27 00:50:21,Obornicka / Bałtycka,Żmigrodzka / Broniewskiego,4
22,136322773,650805,2022-01-27 00:47:41,2022-01-27 00:55:25,Powstańców Śląskich (Arkady Wrocławskie),Zaporoska / Gajowicka,8
23,136322795,57103,2022-01-27 00:51:05,2022-01-27 00:56:16,Żmigrodzka / Broniewskiego,Kamieńskiego / Jutrosińska,6
24,136322774,651358,2022-01-27 00:47:59,2022-01-27 00:56:59,Poza stacją,Hubska / Prudnicka,9
25,136322796,650285,2022-01-27 00:51:12,2022-01-27 00:57:26,Kościuszki / Komuny Paryskiej / Zgodna,Hubska / Prudnicka,7
26,136322714,651065,2022-01-27 00:40:28,2022-01-27 00:58:07,Nowowiejska / Górnickiego,Olszewskiego / Spółdzielcza,18
27,136322846,57519,2022-01-27 00:58:40,2022-01-27 01:07:39,"Dworzec Główny, południe",Świeradowska (Ferio Gaj ),9
28,136322893,651165,2022-01-27 01:09:04,2022-01-27 01:09:31,Fosa Miejska ,Fosa Miejska ,1
