,UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
0,137554991,650943,2022-02-24 23:51:14,2022-02-25 00:00:33,"Grochowa / Jemiołowa,",Dworzec Główny ,10
1,137554947,650032,2022-02-24 23:48:33,2022-02-25 00:02:02,Hubska / Prudnicka,Tarnogajska / Klimasa,14
2,137554950,57744,2022-02-24 23:48:38,2022-02-25 00:09:05,Legnicka / Zachodnia ,Plac Dominikański (Galeria Dominikańska),21
3,137555094,650320,2022-02-24 23:57:48,2022-02-25 00:10:48,Plac Powstańców Śląskich,pl. Orląt Lwowskich,13
4,137555060,650896,2022-02-24 23:55:04,2022-02-25 00:16:24,Poza stacją,Waniliowa / Cynamonowa,22
5,137555370,651322,2022-02-25 00:16:15,2022-02-25 00:16:47,Dyrekcyjna / Borowska (Wroclavia),Dyrekcyjna / Borowska (Wroclavia),1
6,137555318,57810,2022-02-25 00:13:35,2022-02-25 00:16:48,Zachodnia / Poznańska,Legnicka / Zachodnia ,4
7,137555187,57556,2022-02-25 00:04:14,2022-02-25 00:18:20,Krzywoustego / Korona,Gorlicka / Litewska,15
8,137555308,57419,2022-02-25 00:12:48,2022-02-25 00:22:22,Rynek,Nowowiejska / Jedności Narodowej,10
9,137555411,651274,2022-02-25 00:20:09,2022-02-25 00:24:13,Poza stacją,Kozanowska/Pałucka,5
10,137555454,650943,2022-02-25 00:22:48,2022-02-25 00:29:56,Dworzec Główny ,Hubska / Prudnicka,8
11,137555551,651338,2022-02-25 00:30:30,2022-02-25 00:32:05,al. Armii Krajowej / Borowska,al. Armii Krajowej / Borowska,2
12,137554975,651092,2022-02-24 23:50:27,2022-02-25 00:36:27,Powstańców Śląskich/Orla,Przyjaźni,46
13,137555508,57840,2022-02-25 00:26:28,2022-02-25 00:37:09,Poza stacją,Wróblewskiego (Teki),11
14,137555548,57541,2022-02-25 00:30:15,2022-02-25 00:37:43,al. Armii Krajowej / Borowska,Świeradowska (Ferio Gaj ),8
15,137555599,651338,2022-02-25 00:32:52,2022-02-25 00:37:47,al. Armii Krajowej / Borowska,Świeradowska (Ferio Gaj ),5
16,137555565,57128,2022-02-25 00:31:08,2022-02-25 00:38:45,Bezpieczna / Obornicka,Kraszewskiego / Trzebnicka,8
17,137555697,650139,2022-02-25 00:39:13,2022-02-25 00:43:16,Plac Staszica,Kurkowa / Dubois,5
18,137555556,57744,2022-02-25 00:30:45,2022-02-25 00:45:21,Plac Dominikański (Galeria Dominikańska),Wróblewskiego (Teki),15
19,137555645,650827,2022-02-25 00:35:52,2022-02-25 00:45:21,Zaporoska / Wielka / Krucza,Krucza / Mielecka / Stalowa,10
20,137555522,57417,2022-02-25 00:27:45,2022-02-25 00:47:23,Świdnicka / Piłsudskiego (Hotel Scandic),Grota-Roweckiego / Parafialna,20
21,137555373,650229,2022-02-25 00:16:33,2022-02-25 00:49:41,Plac Uniwersytecki (UWr),Stadion Olimpijski,34
22,137555384,650398,2022-02-25 00:17:43,2022-02-25 00:49:43,Plac Uniwersytecki (UWr),Stadion Olimpijski,32
23,137555582,57554,2022-02-25 00:32:07,2022-02-25 00:50:18,Racławicka / Rymarska,Poza stacją,19
24,137555748,57127,2022-02-25 00:43:26,2022-02-25 00:51:18,Kozanowska / Pilczycka,Lotnicza / Bajana,8
25,137555755,57105,2022-02-25 00:44:05,2022-02-25 00:51:29,Piłsudskiego 13 od Jump Hall,Grabiszyńska / Stalowa,8
26,137555495,650898,2022-02-25 00:24:59,2022-02-25 00:51:45,Świeradowska (Ferio Gaj ),Poniatowskiego / Oleśnicka,27
27,137555767,651129,2022-02-25 00:45:01,2022-02-25 00:53:02,Plac Staszica,Sienkiewicza / Wyszyńskiego,9
28,137555753,57074,2022-02-25 00:43:44,2022-02-25 00:53:25,al. Kochanowskiego / Kopernika,Żeromskiego / Daszyńskiego,10
29,137555744,57755,2022-02-25 00:42:55,2022-02-25 00:54:54,Rondo Reagana,Kościuszki / Komuny Paryskiej / Zgodna,12
30,137555750,650908,2022-02-25 00:43:30,2022-02-25 00:57:54,Kurkowa / Dubois,Popowice,15
31,137555560,57217,2022-02-25 00:30:55,2022-02-25 00:59:24,Powstańców Śląskich/Orla,al. Armii Krajowej / Tarnogajska,29
32,137555738,650140,2022-02-25 00:42:33,2022-02-25 01:00:13,Legnicka (Park Magnolia),Kazimierza Wielkiego (Helios),18
33,137555739,651296,2022-02-25 00:42:38,2022-02-25 01:00:32,Legnicka (Park Magnolia),Kazimierza Wielkiego (Helios),18
34,137555865,651129,2022-02-25 00:53:49,2022-02-25 01:01:24,Sienkiewicza / Wyszyńskiego,Sienkiewicza / Wyszyńskiego,8
35,137555696,651092,2022-02-25 00:39:11,2022-02-25 01:01:57,Przyjaźni,Przyjaźni,23
36,137555769,650202,2022-02-25 00:45:08,2022-02-25 01:04:36,Wróblewskiego (Teki),"Dworzec Główny, południe",20
37,137555938,57330,2022-02-25 00:59:58,2022-02-25 01:07:16,Sienkiewicza / Piastowska,Joliot-Curie (Uwr),8
38,137556070,57842,2022-02-25 01:10:58,2022-02-25 01:11:34,Bezpieczna / Obornicka,Bezpieczna / Obornicka,1
39,137556020,651129,2022-02-25 01:07:43,2022-02-25 01:11:54,Sienkiewicza / Wyszyńskiego,Plac Grunwaldzki (DS Ołówek),5
40,137556014,650509,2022-02-25 01:07:26,2022-02-25 01:13:50,Zaporoska / Gajowicka,Grabiszyńska / Stalowa,7
41,137555840,650012,2022-02-25 00:50:57,2022-02-25 01:14:54,Grabiszyńska / Magazynierska (Corte Verona),Kościuszki / Komuny Paryskiej / Zgodna,24
42,137556013,650505,2022-02-25 01:07:15,2022-02-25 01:17:31,Sienkiewicza / Piastowska,Poniatowskiego / Oleśnicka,11
43,137556007,651176,2022-02-25 01:06:54,2022-02-25 01:17:37,Sienkiewicza / Piastowska,Poniatowskiego / Oleśnicka,11
44,137556027,57330,2022-02-25 01:08:10,2022-02-25 01:17:45,Joliot-Curie (Uwr),Plac Dominikański (Galeria Dominikańska),10
