,UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
0,138758716,650413,2022-03-17 23:15:20,2022-03-18 00:00:13,Kazimierza Wielkiego (Helios),Jedności Narodowej / Wyszyńskiego,45
1,138759616,651292,2022-03-17 23:54:14,2022-03-18 00:00:43,Poniatowskiego / Oleśnicka,Rynek,7
2,138759656,650036,2022-03-17 23:55:36,2022-03-18 00:01:30,Plac Dominikański (Galeria Dominikańska),Walońska (Angel Poland Group),6
3,138759540,650524,2022-03-17 23:50:03,2022-03-18 00:01:50,Krzywoustego - Rynek Psie Pole,Poza stacją,12
4,138759537,650685,2022-03-17 23:50:01,2022-03-18 00:02:26,Plac Dominikański (Galeria Dominikańska),Promenady Wrocławskie,13
5,138759608,57598,2022-03-17 23:54:00,2022-03-18 00:02:44,al. Brücknera / Kwidzyńska,Krzywoustego / Korona,9
6,138759644,651455,2022-03-17 23:55:16,2022-03-18 00:03:07,Plac Grunwaldzki (DS Ołówek),Wróblewskiego (Teki),8
7,138759707,57283,2022-03-17 23:58:28,2022-03-18 00:03:10,Legnicka / Młodych Techników,Legnicka / Zachodnia ,5
8,138759766,650357,2022-03-18 00:00:33,2022-03-18 00:04:06,Powstańców Śląskich/Orla,Krzycka / Aleja Karkonoska (Park Południowy),4
9,138759800,650773,2022-03-18 00:02:33,2022-03-18 00:05:02,Zachodnia / Poznańska,Legnicka / Zachodnia ,3
10,138759623,57184,2022-03-17 23:54:30,2022-03-18 00:05:24,al. Brücknera / Kwidzyńska,Krzywoustego / Korona,11
11,138759678,650295,2022-03-17 23:57:14,2022-03-18 00:06:38,Kołłątaja / Podwale,Hubska / Prudnicka,10
12,138759662,57998,2022-03-17 23:56:00,2022-03-18 00:06:43,Gazowa / Międzyleska,al. Armii Krajowej / Borowska,11
13,138759496,650588,2022-03-17 23:48:14,2022-03-18 00:07:12,Kazimierza Wielkiego (Helios),Poza stacją,19
14,138759443,650826,2022-03-17 23:46:07,2022-03-18 00:07:58,Zaporoska / Gajowicka,"Dworzec Główny, południe",22
15,138759716,650854,2022-03-17 23:58:41,2022-03-18 00:09:25,Kamienna / Borowska (Aquapark),Kamienna / Tomaszowska,11
16,138759697,57249,2022-03-17 23:58:08,2022-03-18 00:09:32,Zaporoska / Grabiszyńska,Poza stacją,12
17,138759898,57645,2022-03-18 00:07:02,2022-03-18 00:10:00,Plac Staszica,Reymonta / Kleczkowska,3
18,138759780,651292,2022-03-18 00:01:22,2022-03-18 00:10:25,Rynek,Pereca / Grabiszyńska,10
19,138759869,650167,2022-03-18 00:05:30,2022-03-18 00:10:26,Piłsudskiego 13 od Jump Hall,Pereca / Grabiszyńska,5
20,138759747,650128,2022-03-17 23:59:42,2022-03-18 00:10:32,Kamienna / Borowska (Aquapark),Hubska / Prudnicka,11
21,138759891,650679,2022-03-18 00:06:40,2022-03-18 00:11:54,Poza stacją,Plac Staszica,6
22,138759864,57164,2022-03-18 00:05:18,2022-03-18 00:12:20,Legnicka / Młodych Techników,Piłsudskiego 13 od Jump Hall,8
23,138760000,651287,2022-03-18 00:12:19,2022-03-18 00:13:13,Plac Dominikański (Galeria Dominikańska),Plac Dominikański (Galeria Dominikańska),1
24,138759928,651367,2022-03-18 00:08:47,2022-03-18 00:13:33,Szewska / Kazimierza Wielkiego ,Dworzec Główny ,5
25,138759793,650710,2022-03-18 00:02:13,2022-03-18 00:14:20,Żmigrodzka / Broniewskiego,Sołtysowicka / Redycka,13
26,138760032,651287,2022-03-18 00:13:56,2022-03-18 00:15:25,Plac Dominikański (Galeria Dominikańska),Plac Dominikański (Galeria Dominikańska),2
27,138759905,650573,2022-03-18 00:07:35,2022-03-18 00:16:07,Wyszyńskiego / Szczytnicka,Kurkowa / Dubois,9
28,138759986,57177,2022-03-18 00:12:02,2022-03-18 00:16:49,Na Ostatnim Groszu,Drzewieckiego / Dedala,5
29,138759880,650345,2022-03-18 00:05:55,2022-03-18 00:18:22,Krzywoustego / Korona,al. Brücknera / Kwidzyńska,13
30,138759873,650084,2022-03-18 00:05:42,2022-03-18 00:18:29,Krzywoustego / Korona,al. Brücknera / Kwidzyńska,13
31,138759861,651457,2022-03-18 00:05:13,2022-03-18 00:18:47,Legnicka / Młodych Techników,Plac Świętego Macieja / Trzebnicka,14
32,138760024,57092,2022-03-18 00:13:30,2022-03-18 00:19:23,Plac Dominikański (Galeria Dominikańska),Kościuszki / Pułaskiego,6
33,138760007,57845,2022-03-18 00:12:32,2022-03-18 00:19:43,Plac Jana Pawła II (Akademia Muzyczna),Kurkowa / Dubois,8
34,138760145,650572,2022-03-18 00:19:47,2022-03-18 00:20:41,Rondo Reagana,Rondo Reagana,1
35,138759947,650103,2022-03-18 00:10:04,2022-03-18 00:21:03,Lotnicza / Na Ostatnim Groszu,Graniczna / Strzegomska,11
36,138760106,57684,2022-03-18 00:17:19,2022-03-18 00:23:18,Plac Grunwaldzki (DS Ołówek),al. Kochanowskiego / Śniadeckich ,6
37,138759919,650158,2022-03-18 00:08:25,2022-03-18 00:24:38,al. Armii Krajowej / Borowska,Racławicka / Rymarska,17
38,138760160,650034,2022-03-18 00:20:19,2022-03-18 00:25:13,"Paprotna / Obornicka, zajezdnia MPK",Obornicka / Bałtycka,5
39,138760176,57926,2022-03-18 00:20:56,2022-03-18 00:28:00,"Dworzec Główny, południe",Hubska / Prudnicka,8
40,138760105,650663,2022-03-18 00:17:19,2022-03-18 00:29:38,Obornicka / Bałtycka,Poza stacją,13
41,138760295,57518,2022-03-18 00:27:40,2022-03-18 00:30:03,Powstańców Śląskich (Arkady Wrocławskie),Komandorska / Sanocka,3
42,138760216,650487,2022-03-18 00:23:07,2022-03-18 00:30:51,Joliot-Curie (Uwr),al. Kochanowskiego / Kopernika,8
43,138760173,57297,2022-03-18 00:20:53,2022-03-18 00:31:13,Rondo Reagana,Wróblewskiego (Teki),11
44,138760144,651529,2022-03-18 00:19:41,2022-03-18 00:31:28,Wróblewskiego (Teki),Bacciarellego / pętla autobusowa,12
45,138760255,57217,2022-03-18 00:25:37,2022-03-18 00:31:54,Mościckiego / Chińska ,Mościckiego / Chińska ,7
46,138760250,57950,2022-03-18 00:25:26,2022-03-18 00:34:37,Obornicka / Bałtycka,Aleja Kromera,10
47,138760130,57002,2022-03-18 00:18:49,2022-03-18 00:35:57,Piaskowa / św. Ducha,Kamieńskiego,18
48,138760311,650785,2022-03-18 00:28:22,2022-03-18 00:36:21,Wita Stwosza / Szewska,Joliot-Curie (Uwr),8
49,138760422,651287,2022-03-18 00:35:30,2022-03-18 00:36:28,Plac Dominikański (Galeria Dominikańska),Plac Dominikański (Galeria Dominikańska),1
50,138760341,651008,2022-03-18 00:30:54,2022-03-18 00:36:32,al. Armii Krajowej / Borowska,Świeradowska (Ferio Gaj ),6
51,138760237,57135,2022-03-18 00:24:57,2022-03-18 00:36:35,Wita Stwosza / Szewska,Plac Grunwaldzki (DS Ołówek),12
52,138760357,651330,2022-03-18 00:31:55,2022-03-18 00:39:15,Traugutta / Pułaskiego,Rondo Reagana,8
53,138760359,57767,2022-03-18 00:32:05,2022-03-18 00:39:15,Traugutta / Pułaskiego,Rondo Reagana,8
54,138760401,650705,2022-03-18 00:34:24,2022-03-18 00:39:25,Piaskowa / św. Ducha,Kurkowa / Dubois,6
55,138760367,651143,2022-03-18 00:32:45,2022-03-18 00:40:57,Plac Uniwersytecki (UWr),Plac Staszica,9
56,138760190,57663,2022-03-18 00:21:43,2022-03-18 00:41:13,Gliniana / Gajowa,Plac Dominikański (Galeria Dominikańska),20
