,UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
0,136279176,651171,2022-01-26 00:00:06,2022-01-26 00:05:13,al. Armii Krajowej / Bardzka,Świeradowska (Ferio Gaj ),6
1,136279112,57579,2022-01-25 23:54:05,2022-01-26 00:10:24,Solskiego / al. Piastów,Grabiszyńska / Magazynierska (Corte Verona),17
2,136279196,651151,2022-01-26 00:02:56,2022-01-26 00:10:30,Kurkowa / Dubois,Żeromskiego / Kluczborska,8
3,136279159,650234,2022-01-25 23:58:27,2022-01-26 00:11:07,Legnicka (Park Magnolia),Pilczycka / Kozanowska,13
4,136279253,651308,2022-01-26 00:08:44,2022-01-26 00:11:12,Zachodnia / Poznańska,Legnicka / Zachodnia ,3
5,136278926,57194,2022-01-25 23:35:32,2022-01-26 00:11:44,"Paprotna / Obornicka, zajezdnia MPK",Graniczna / Strzegomska,37
6,136279246,650908,2022-01-26 00:08:20,2022-01-26 00:19:00,Berenta / Kasprowicza,Żmigrodzka / Broniewskiego,11
7,136279292,57845,2022-01-26 00:11:56,2022-01-26 00:22:35,Grabiszyńska / Magazynierska (Corte Verona),Żelazna / Pereca,11
8,136279371,57744,2022-01-26 00:20:14,2022-01-26 00:25:09,"Paprotna / Obornicka, zajezdnia MPK",Bezpieczna / Obornicka,5
9,136279308,650336,2022-01-26 00:13:59,2022-01-26 00:26:47,Poza stacją,Czekoladowa / Wałbrzyska,13
10,136279408,650788,2022-01-26 00:25:27,2022-01-26 00:32:48,Świdnicka / Piłsudskiego (Hotel Scandic),Świdnicka / Piłsudskiego (Hotel Scandic),8
11,136279375,57129,2022-01-26 00:20:32,2022-01-26 00:35:55,Wyszyńskiego / Szczytnicka,Olszewskiego / Spółdzielcza,16
12,136279379,57552,2022-01-26 00:20:48,2022-01-26 00:37:35,Wyszyńskiego / Szczytnicka,Promenady Wrocławskie,17
13,136279454,650864,2022-01-26 00:31:52,2022-01-26 00:38:36,Nowowiejska / Wyszyńskiego,Sienkiewicza / Piastowska,7
14,136279463,650908,2022-01-26 00:33:00,2022-01-26 00:40:37,Żmigrodzka / Broniewskiego,Berenta / Kasprowicza,8
15,136279524,57996,2022-01-26 00:43:58,2022-01-26 01:00:35,Traugutta / Pułaskiego,Opolska / Siemianowicka,17
16,136279577,650684,2022-01-26 00:53:04,2022-01-26 01:03:51,Osobowicka / Ostrowska,Bezpieczna/Jugosławiańska,11
17,136279586,650874,2022-01-26 00:55:14,2022-01-26 01:04:03,Żmigrodzka / Marino,Kamieńskiego / Jutrosińska,9
18,136279635,650689,2022-01-26 01:02:55,2022-01-26 01:11:33,Szczęśliwa (Sky Tower),Szewska / Kazimierza Wielkiego ,9
19,136279571,650700,2022-01-26 00:52:02,2022-01-26 01:16:44,Zaporoska / Gajowicka,Wałbrzyska - pętla tramwajowa,25
20,136279707,650582,2022-01-26 01:15:18,2022-01-26 01:23:21,Szczęśliwa (Sky Tower),Aleja Hallera / Mielecka,9
21,136279732,651052,2022-01-26 01:19:31,2022-01-26 01:24:04,Krzywoustego - Rynek Psie Pole,Gorlicka / Litewska,5
22,136279776,57741,2022-01-26 01:26:31,2022-01-26 01:36:30,Krzywoustego - Rynek Psie Pole,Wilanowska,10
23,136279790,650193,2022-01-26 01:29:38,2022-01-26 01:40:02,Kościuszki / Komuny Paryskiej / Zgodna,Szewska / Kazimierza Wielkiego ,11
24,136279850,651124,2022-01-26 01:42:54,2022-01-26 01:43:34,Świeradowska / Krynicka,Świeradowska / Krynicka,1
25,136279872,650425,2022-01-26 01:50:29,2022-01-26 01:51:12,Komandorska / Kamienna,Komandorska / Kamienna,1
26,136279882,650689,2022-01-26 01:52:19,2022-01-26 01:59:19,Wita Stwosza / Szewska,Walońska (Angel Poland Group),7
27,136279894,57739,2022-01-26 01:57:45,2022-01-26 02:00:34,Karwińska / Opolska,Opolska / pętla tramwajowa,3
28,136279860,650193,2022-01-26 01:44:33,2022-01-26 02:03:32,Szewska / Kazimierza Wielkiego ,Jedności Narodowej / Wyszyńskiego,19
29,136279907,57740,2022-01-26 01:59:21,2022-01-26 02:05:40,Aleja Kromera,Aleja Kromera,7
30,136279899,650724,2022-01-26 01:58:55,2022-01-26 02:14:31,Wyszyńskiego / Szczytnicka,"Dworzec Główny, południe",16
31,136279949,650176,2022-01-26 02:13:05,2022-01-26 02:18:14,Krzywoustego / Korona,Krzywoustego / Korona,6
32,136279962,650359,2022-01-26 02:17:30,2022-01-26 02:29:44,Krzywoustego / Korona,Jedności Narodowej / Wyszyńskiego,13
33,136279964,650425,2022-01-26 02:17:47,2022-01-26 02:30:24,Komandorska / Kamienna,Ślężna / Skierniewicka,13
34,136280011,650359,2022-01-26 02:32:19,2022-01-26 02:39:07,Poza stacją,Poniatowskiego / Oleśnicka,7
35,136280032,650359,2022-01-26 02:39:43,2022-01-26 02:58:13,Poniatowskiego / Oleśnicka,Plac Strzegomski / Poznańska,19
36,136280076,57468,2022-01-26 03:06:52,2022-01-26 03:17:31,Plac Świętego Macieja / Trzebnicka,Plac Świętego Macieja / Trzebnicka,11
37,136280115,650597,2022-01-26 03:17:09,2022-01-26 03:36:32,Plac Staszica,Nyska / Jesionowa,20
38,136280152,650472,2022-01-26 03:38:28,2022-01-26 03:39:59,Ślężna / Aleja Wiśniowa,Ślężna / Aleja Wiśniowa,2
39,136280131,57362,2022-01-26 03:25:04,2022-01-26 03:44:53,Powstańców Śląskich/Orla,Kutrzeby / Hubala,20
40,136280133,650290,2022-01-26 03:25:14,2022-01-26 03:44:53,Powstańców Śląskich/Orla,Kutrzeby / Hubala,20
41,136280156,57340,2022-01-26 03:40:16,2022-01-26 03:45:01,Ślężna / Aleja Wiśniowa,al. Armii Krajowej / Borowska,5
42,136280171,651391,2022-01-26 03:55:48,2022-01-26 04:02:50,Dworzec Główny ,Kościuszki / Komuny Paryskiej / Zgodna,8
43,136280168,57038,2022-01-26 03:50:26,2022-01-26 04:06:49,Żelazna / Pereca,al. Armii Krajowej / Bardzka,17
44,136280277,57632,2022-01-26 04:39:06,2022-01-26 04:46:55,Mińska / Stanisławowska,Graniczna / Strzegomska,8
45,136280172,651060,2022-01-26 03:55:54,2022-01-26 04:48:49,Centrum Handlowe Auchan Bielany,Nyska / Jesionowa,53
46,136280329,57605,2022-01-26 05:03:32,2022-01-26 05:10:43,Grabiszyńska / Stalowa,Aleja Hallera / Mielecka,8
47,136280353,651512,2022-01-26 05:07:27,2022-01-26 05:10:46,Opolska / Siemianowicka,Opolska / pętla tramwajowa,4
48,136280326,651300,2022-01-26 05:02:42,2022-01-26 05:15:58,Zwycięska / Agrestowa,Czekoladowa / Wałbrzyska,14
49,136280374,650099,2022-01-26 05:11:05,2022-01-26 05:16:05,Zwycięska / Agrestowa,al. Karkonoska / Jeździecka,5
50,136280376,651463,2022-01-26 05:11:18,2022-01-26 05:16:12,Zwycięska / Agrestowa,al. Karkonoska / Jeździecka,5
51,136280358,651356,2022-01-26 05:08:19,2022-01-26 05:17:14,Kamienna / Tomaszowska,Powstańcow Śląskich / Aleja Hallera,9
52,136280381,650951,2022-01-26 05:11:45,2022-01-26 05:21:36,Plac Uniwersytecki (UWr),Komandorska / Sanocka,10
53,136280359,57118,2022-01-26 05:08:33,2022-01-26 05:21:54,Kamienna / Tomaszowska,Powstańcow Śląskich / Aleja Hallera,14
54,136280395,650041,2022-01-26 05:15:03,2022-01-26 05:23:08,Grabiszyńska / Stalowa,Grabiszyńska / Aleja Hallera,9
55,136280431,57672,2022-01-26 05:21:36,2022-01-26 05:27:25,Zaporoska / Wielka / Krucza,Zaporoska / Grabiszyńska,6
56,136280442,650783,2022-01-26 05:24:10,2022-01-26 05:28:34,Zwycięska / Ołtaszyńska,al. Karkonoska / Jeździecka,5
57,136280414,650848,2022-01-26 05:18:20,2022-01-26 05:29:55,Młodych Techników,Legnicka (Park Magnolia),12
58,136280399,57466,2022-01-26 05:15:37,2022-01-26 05:31:50,Kozanowska / Pilczycka,Traktatowa (przystanek kolejowy),17
59,136280416,651356,2022-01-26 05:18:38,2022-01-26 05:33:00,Powstańcow Śląskich / Aleja Hallera,Grabiszyńska / Stalowa,15
60,136280471,650777,2022-01-26 05:30:20,2022-01-26 05:33:07,Grota-Roweckiego/Iwaszkiewicza,Grota-Roweckiego / Parafialna,3
61,136280447,57789,2022-01-26 05:26:04,2022-01-26 05:33:15,Drobnera / Dubois,pl. Orląt Lwowskich,8
62,136280461,57370,2022-01-26 05:27:58,2022-01-26 05:36:09,al. Armii Krajowej / Borowska,Ślężna / Skierniewicka,9
63,136280463,57863,2022-01-26 05:28:31,2022-01-26 05:40:12,Pilczycka / Koszykarska,Legnicka / Wejherowska,12
64,136280492,650848,2022-01-26 05:33:34,2022-01-26 05:40:31,Legnicka (Park Magnolia),Fabryczna / Wagonowa,7
65,136280519,650389,2022-01-26 05:37:14,2022-01-26 05:40:37,Gliniana / Gajowa,"Dworzec Główny, południe",4
66,136280513,651388,2022-01-26 05:36:39,2022-01-26 05:43:05,Dyrekcyjna / Borowska (Wroclavia),Kościuszki / Komuny Paryskiej / Zgodna,7
67,136280237,57190,2022-01-26 04:27:17,2022-01-26 05:44:33,Bezpieczna/Jugosławiańska,Popowice,78
68,136280534,650724,2022-01-26 05:40:20,2022-01-26 05:45:34,"Dworzec Główny, południe",Hubska / Prudnicka,6
69,136280456,57824,2022-01-26 05:27:21,2022-01-26 05:48:13,Kutrzeby / Hubala,Czekoladowa / Wałbrzyska,21
70,136280516,57845,2022-01-26 05:36:56,2022-01-26 05:48:48,Żelazna / Pereca,Dworzec Główny ,12
71,136280556,57618,2022-01-26 05:43:06,2022-01-26 05:50:04,al. Brücknera / Kwidzyńska,Kwidzyńska pętla,7
72,136280590,650214,2022-01-26 05:48:10,2022-01-26 05:51:45,Rondo Reagana,Rondo Reagana,4
73,136280548,651127,2022-01-26 05:42:12,2022-01-26 05:55:30,Krakowska / Leroy Merlin,"Dworzec Główny, południe",14
74,136280600,650636,2022-01-26 05:49:25,2022-01-26 05:57:17,al. Poprzeczna / stacja kolejowa,Koszarowa / UWr,8
75,136280595,57934,2022-01-26 05:48:48,2022-01-26 05:58:13,Powstańców Śląskich/Orla,al. Karkonoska / Jeździecka,10
